case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_csa_androws_abc_lut3_to_aig,unsigned low5_high5:a*b,csa_androws+abc_lut3_to_aig,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_csa_androws_abc_lut3_to_aig.aig,1,1,1,256,30,7680,1911,4.018838,0,0,0.367,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws; flow=abc_lut3_to_aig
ex256,ex256_umul_csa_androws_abc_lut4_to_aig,unsigned low5_high5:a*b,csa_androws+abc_lut4_to_aig,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_csa_androws_abc_lut4_to_aig.aig,1,1,1,314,34,10676,1911,5.586604,0,0,0.295,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws; flow=abc_lut4_to_aig
ex256,ex256_umul_csa_androws_abc_lut5_to_aig,unsigned low5_high5:a*b,csa_androws+abc_lut5_to_aig,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_csa_androws_abc_lut5_to_aig.aig,1,1,1,360,34,12240,1911,6.405024,0,0,0.299,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws; flow=abc_lut5_to_aig
ex256,ex256_umul_csa_androws_abc_g_aig,unsigned low5_high5:a*b,csa_androws+abc_g_aig,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_csa_androws_abc_g_aig.aig,1,1,1,155,21,3255,1911,1.703297,0,0,0.210,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws; flow=abc_g_aig
ex256,ex256_umul_csa_androws_synth_preset_d13,unsigned low5_high5:a*b,csa_androws+synth_preset_d13,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_csa_androws_synth_preset_d13.aig,1,1,1,150,21,3150,1911,1.648352,0,0,0.277,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws; flow=synth_preset_d13
ex256,ex256_umul_wallace_bits_abc_lut3_to_aig,unsigned low5_high5:a*b,wallace_bits+abc_lut3_to_aig,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_wallace_bits_abc_lut3_to_aig.aig,1,1,1,254,26,6604,1911,3.455782,0,0,0.311,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits; flow=abc_lut3_to_aig
ex256,ex256_umul_wallace_bits_abc_lut4_to_aig,unsigned low5_high5:a*b,wallace_bits+abc_lut4_to_aig,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_wallace_bits_abc_lut4_to_aig.aig,1,1,1,308,32,9856,1911,5.157509,0,0,0.314,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits; flow=abc_lut4_to_aig
ex256,ex256_umul_wallace_bits_abc_lut5_to_aig,unsigned low5_high5:a*b,wallace_bits+abc_lut5_to_aig,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_wallace_bits_abc_lut5_to_aig.aig,1,1,1,396,33,13068,1911,6.838305,0,0,0.324,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits; flow=abc_lut5_to_aig
ex256,ex256_umul_wallace_bits_abc_g_aig,unsigned low5_high5:a*b,wallace_bits+abc_g_aig,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_wallace_bits_abc_g_aig.aig,1,1,1,158,20,3160,1911,1.653585,0,0,0.243,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits; flow=abc_g_aig
ex256,ex256_umul_wallace_bits_synth_preset_d13,unsigned low5_high5:a*b,wallace_bits+synth_preset_d13,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_wallace_bits_synth_preset_d13.aig,1,1,1,162,22,3564,1911,1.864992,0,0,0.286,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits; flow=synth_preset_d13
ex256,ex256_umul_wallace_bits_prefix_abc_lut3_to_aig,unsigned low5_high5:a*b,wallace_bits_prefix+abc_lut3_to_aig,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/verilog/ex256_umul_wallace_bits_prefix.v,student/work/ex256_frontend_umul_lutmap_probe_20260609_0122/ex256/aigs/ex256_umul_wallace_bits_prefix_abc_lut3_to_aig.aig,1,1,1,249,24,5976,1911,3.127159,0,0,0.317,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits_prefix; flow=abc_lut3_to_aig
