case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_anf_product_bits_abc_g_aig,signed low4_high4:a*b,anf_product_bits+abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_anf_product_bits.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_anf_product_bits_abc_g_aig.aig,1,1,1,242,28,6776,657,10.313546,0,0,0.319,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=anf_product_bits; flow=abc_g_aig
ex260,ex260_smul_anf_product_bits_wreduce_abc_g_aig,signed low4_high4:a*b,anf_product_bits+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_anf_product_bits.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_anf_product_bits_wreduce_abc_g_aig.aig,1,1,1,242,28,6776,657,10.313546,0,0,0.318,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=anf_product_bits; flow=wreduce_abc_g_aig
ex260,ex260_smul_anf_product_bits_synth_preset_d9,signed low4_high4:a*b,anf_product_bits+synth_preset_d9,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_anf_product_bits.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_anf_product_bits_synth_preset_d9.aig,1,1,1,207,22,4554,657,6.931507,0,0,0.417,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=anf_product_bits; flow=synth_preset_d9
ex260,ex260_smul_anf_product_bits_synth_preset_d13,signed low4_high4:a*b,anf_product_bits+synth_preset_d13,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_anf_product_bits.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_anf_product_bits_synth_preset_d13.aig,1,1,1,207,22,4554,657,6.931507,0,0,0.414,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=anf_product_bits; flow=synth_preset_d13
ex260,ex260_smul_anf_product_bits_synth_preset_d18,signed low4_high4:a*b,anf_product_bits+synth_preset_d18,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_anf_product_bits.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_anf_product_bits_synth_preset_d18.aig,1,1,1,207,22,4554,657,6.931507,0,0,0.417,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=anf_product_bits; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,1.345,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d9,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9.aig,1,1,1,92,14,1288,657,1.960426,0,0,1.282,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.265,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d18,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.246,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev+abc_g_aig,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_anf_20260609_0336/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.598,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
