case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_direct_signed_abc_g_aig,1,116,20,2320,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_direct_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=abc_g_aig
ex260,ex260_smul_direct_signed_synth_preset_d13,1,114,20,2280,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_direct_signed_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d13
ex260,ex260_smul_abs_sign_direct_abc_g_aig,1,103,18,1854,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_abs_sign_direct_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_direct; flow=abc_g_aig
ex260,ex260_smul_abs_sign_direct_synth_preset_d13,1,103,18,1854,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_abs_sign_direct_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_direct; flow=synth_preset_d13
ex260,ex260_smul_signed_correction_direct_abc_g_aig,1,125,28,3500,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_signed_correction_direct_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=signed_correction_direct; flow=abc_g_aig
ex260,ex260_smul_signed_correction_direct_synth_preset_d13,1,131,19,2489,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_signed_correction_direct_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=signed_correction_direct; flow=synth_preset_d13
ex260,ex260_smul_signed_correction_wallace_abc_g_aig,1,124,24,2976,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_signed_correction_wallace_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=signed_correction_wallace; flow=abc_g_aig
ex260,ex260_smul_signed_correction_wallace_synth_preset_d13,1,114,20,2280,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_signed_correction_wallace_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=signed_correction_wallace; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_signed_abc_g_aig,0,,,,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_booth_radix4_signed_abc_g_aig.aig,SynthError: Yosys failed exit=1; see student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/logs/ex260_smul_booth_radix4_signed_abc_g_aig.yosys.log
ex260,ex260_smul_booth_radix4_signed_synth_preset_d13,0,,,,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_booth_radix4_signed_synth_preset_d13.aig,SynthError: Yosys failed exit=1; see student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/logs/ex260_smul_booth_radix4_signed_synth_preset_d13.yosys.log
ex260,ex260_smul_case_small_signed_abc_g_aig,1,205,12,2460,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_case_small_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=case_small_signed; flow=abc_g_aig
ex260,ex260_smul_case_small_signed_synth_preset_d13,1,197,12,2364,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex260/aigs/ex260_smul_case_small_signed_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=case_small_signed; flow=synth_preset_d13
ex261,ex261_smul_direct_signed_abc_g_aig,1,203,25,5075,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_direct_signed_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=abc_g_aig
ex261,ex261_smul_direct_signed_synth_preset_d13,1,197,23,4531,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_direct_signed_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=synth_preset_d13
ex261,ex261_smul_abs_sign_direct_abc_g_aig,1,184,28,5152,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_abs_sign_direct_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=abs_sign_direct; flow=abc_g_aig
ex261,ex261_smul_abs_sign_direct_synth_preset_d13,1,184,28,5152,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_abs_sign_direct_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=abs_sign_direct; flow=synth_preset_d13
ex261,ex261_smul_signed_correction_direct_abc_g_aig,1,205,34,6970,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_signed_correction_direct_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=signed_correction_direct; flow=abc_g_aig
ex261,ex261_smul_signed_correction_direct_synth_preset_d13,1,221,27,5967,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_signed_correction_direct_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=signed_correction_direct; flow=synth_preset_d13
ex261,ex261_smul_signed_correction_wallace_abc_g_aig,1,208,31,6448,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_signed_correction_wallace_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=signed_correction_wallace; flow=abc_g_aig
ex261,ex261_smul_signed_correction_wallace_synth_preset_d13,1,203,27,5481,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_signed_correction_wallace_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=signed_correction_wallace; flow=synth_preset_d13
ex261,ex261_smul_booth_radix4_signed_abc_g_aig,0,,,,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_booth_radix4_signed_abc_g_aig.aig,SynthError: Yosys failed exit=1; see student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/logs/ex261_smul_booth_radix4_signed_abc_g_aig.yosys.log
ex261,ex261_smul_booth_radix4_signed_synth_preset_d13,0,,,,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_booth_radix4_signed_synth_preset_d13.aig,SynthError: Yosys failed exit=1; see student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/logs/ex261_smul_booth_radix4_signed_synth_preset_d13.yosys.log
ex261,ex261_smul_case_small_signed_abc_g_aig,1,586,16,9376,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_case_small_signed_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=case_small_signed; flow=abc_g_aig
ex261,ex261_smul_case_small_signed_synth_preset_d13,1,589,15,8835,student/work/ex260_ex261_frontend_smul_smoke_20260609_0220/ex261/aigs/ex261_smul_case_small_signed_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=case_small_signed; flow=synth_preset_d13
