case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_wreduce_abc_g_aig,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_synth_preset_d11,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_synth_preset_d13,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig_d9,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig_d11,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_abc_g_aig,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_wreduce_abc_g_aig,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_synth_preset_d11,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_synth_preset_d13,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_abc_g_aig_d9,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_abc_g_aig_d11,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx3_abc_g_aig,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx3_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx3_wreduce_abc_g_aig,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx3_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx3_synth_preset_d11,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx3_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx3; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx3_synth_preset_d13,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx3_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx3; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx3_abc_g_aig_d9,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx3_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx3; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx3_abc_g_aig_d11,1,88,14,1232,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx3_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx3; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx4_abc_g_aig,1,88,16,1408,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx4; flow=abc_g_aig
