case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_signcorr_core_mul_abc_g_aig,1,88,21,1848,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_mul_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_mul; flow=abc_g_aig
ex260,ex260_smul_signcorr_core_mul_wreduce_abc_g_aig,1,92,23,2116,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_mul_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_mul; flow=wreduce_abc_g_aig
ex260,ex260_smul_signcorr_core_mul_synth_preset_d11,1,92,19,1748,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_mul_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_mul; flow=synth_preset_d11
ex260,ex260_smul_signcorr_core_mul_synth_preset_d13,1,92,19,1748,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_mul_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_mul; flow=synth_preset_d13
ex260,ex260_smul_signcorr_core_wallace_abc_g_aig,1,89,19,1691,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_wallace_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_wallace; flow=abc_g_aig
ex260,ex260_smul_signcorr_core_wallace_wreduce_abc_g_aig,1,89,19,1691,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_wallace_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_wallace; flow=wreduce_abc_g_aig
ex260,ex260_smul_signcorr_core_wallace_synth_preset_d11,1,93,17,1581,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_wallace_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_wallace; flow=synth_preset_d11
ex260,ex260_smul_signcorr_core_wallace_synth_preset_d13,1,93,17,1581,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_wallace_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_wallace; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,1,88,16,1408,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
