case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_dadda_abc_g_aig,1,93,17,1581,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_dadda_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_dadda_wreduce_abc_g_aig,1,93,17,1581,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_dadda_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_dadda_synth_preset_d13,1,93,17,1581,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_dadda_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_dadda_synth_preset_d18,1,93,17,1581,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_dadda_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_dadda_plus_abc_g_aig,1,93,17,1581,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_dadda_plus_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_plus; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_dadda_plus_wreduce_abc_g_aig,1,93,17,1581,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_dadda_plus_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_plus; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_dadda_plus_synth_preset_d13,1,93,17,1581,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_dadda_plus_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_plus; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_dadda_plus_synth_preset_d18,1,93,17,1581,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_dadda_plus_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_plus; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_wallace_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d13,1,91,14,1274,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d18,1,91,14,1274,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_abc_g_aig,1,88,14,1232,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,1,88,14,1232,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13,1,88,14,1232,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18,1,88,14,1232,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_dadda_abc_g_aig,1,163,25,4075,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_dadda_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_dadda_wreduce_abc_g_aig,1,163,25,4075,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_dadda_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_dadda_synth_preset_d13,1,163,25,4075,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_dadda_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_dadda_synth_preset_d18,1,163,25,4075,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_dadda_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_dadda_plus_abc_g_aig,1,163,25,4075,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_dadda_plus_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda_plus; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_dadda_plus_wreduce_abc_g_aig,1,163,25,4075,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_dadda_plus_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda_plus; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_dadda_plus_synth_preset_d13,1,163,25,4075,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_dadda_plus_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda_plus; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_dadda_plus_synth_preset_d18,1,163,25,4075,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_dadda_plus_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda_plus; flow=synth_preset_d18
