case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_booth_radix4_balanced_abc_g_aig,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_balanced_wreduce_abc_g_aig,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=wreduce_abc_g_aig
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d9,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d9
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d13,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d18,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d18
ex260,ex260_smul_booth_radix4_balanced_abc_g_aig_d13,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_balanced_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=abc_g_aig_d13
ex260,ex260_smul_booth_radix4_csa_cla_abc_g_aig,1,102,16,1632,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_csa_cla_wreduce_abc_g_aig,1,102,16,1632,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=wreduce_abc_g_aig
ex260,ex260_smul_booth_radix4_csa_cla_synth_preset_d9,1,102,16,1632,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d9
ex260,ex260_smul_booth_radix4_csa_cla_synth_preset_d13,1,102,16,1632,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_csa_cla_synth_preset_d18,1,102,16,1632,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d18
ex260,ex260_smul_booth_radix4_csa_cla_abc_g_aig_d13,1,102,16,1632,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_csa_cla_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig_d13
ex260,ex260_smul_booth_radix4_signed_abc_g_aig,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_signed_wreduce_abc_g_aig,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_signed_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_booth_radix4_signed_synth_preset_d9,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_signed_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=synth_preset_d9
ex260,ex260_smul_booth_radix4_signed_synth_preset_d13,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_signed_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_signed_synth_preset_d18,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_signed_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=synth_preset_d18
ex260,ex260_smul_booth_radix4_signed_abc_g_aig_d13,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_booth_radix4_signed_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=abc_g_aig_d13
ex260,ex260_smul_abs_sign_wallace_abc_g_aig,1,104,18,1872,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_abs_sign_wallace_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=abc_g_aig
ex260,ex260_smul_abs_sign_wallace_wreduce_abc_g_aig,1,104,18,1872,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_abs_sign_wallace_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=wreduce_abc_g_aig
ex260,ex260_smul_abs_sign_wallace_synth_preset_d9,1,104,18,1872,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_abs_sign_wallace_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=synth_preset_d9
ex260,ex260_smul_abs_sign_wallace_synth_preset_d13,1,104,18,1872,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_abs_sign_wallace_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=synth_preset_d13
ex260,ex260_smul_abs_sign_wallace_synth_preset_d18,1,104,18,1872,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_abs_sign_wallace_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=synth_preset_d18
ex260,ex260_smul_abs_sign_wallace_abc_g_aig_d13,1,104,18,1872,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_abs_sign_wallace_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=abc_g_aig_d13
ex260,ex260_smul_direct_signed_abc_g_aig,1,116,20,2320,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_direct_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=abc_g_aig
ex260,ex260_smul_direct_signed_wreduce_abc_g_aig,1,116,20,2320,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_direct_signed_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_direct_signed_synth_preset_d9,1,114,20,2280,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_direct_signed_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d9
ex260,ex260_smul_direct_signed_synth_preset_d13,1,114,20,2280,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_direct_signed_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d13
ex260,ex260_smul_direct_signed_synth_preset_d18,1,114,20,2280,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_direct_signed_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d18
ex260,ex260_smul_direct_signed_abc_g_aig_d13,1,116,20,2320,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex260/aigs/ex260_smul_direct_signed_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=abc_g_aig_d13
ex261,ex261_smul_booth_radix4_balanced_abc_g_aig,1,174,23,4002,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_balanced_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex261,ex261_smul_booth_radix4_balanced_wreduce_abc_g_aig,1,174,23,4002,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_balanced_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_balanced; flow=wreduce_abc_g_aig
ex261,ex261_smul_booth_radix4_balanced_synth_preset_d9,1,180,21,3780,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_balanced_synth_preset_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_balanced; flow=synth_preset_d9
ex261,ex261_smul_booth_radix4_balanced_synth_preset_d13,1,180,21,3780,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_balanced_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_balanced; flow=synth_preset_d13
ex261,ex261_smul_booth_radix4_balanced_synth_preset_d18,1,180,21,3780,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_balanced_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_balanced; flow=synth_preset_d18
ex261,ex261_smul_booth_radix4_balanced_abc_g_aig_d13,1,174,23,4002,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_balanced_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_balanced; flow=abc_g_aig_d13
ex261,ex261_smul_booth_radix4_csa_cla_abc_g_aig,1,186,21,3906,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_csa_cla_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig
ex261,ex261_smul_booth_radix4_csa_cla_wreduce_abc_g_aig,1,186,21,3906,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_csa_cla_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_csa_cla; flow=wreduce_abc_g_aig
ex261,ex261_smul_booth_radix4_csa_cla_synth_preset_d9,1,186,21,3906,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_csa_cla_synth_preset_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d9
ex261,ex261_smul_booth_radix4_csa_cla_synth_preset_d13,1,186,21,3906,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_csa_cla_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d13
ex261,ex261_smul_booth_radix4_csa_cla_synth_preset_d18,1,186,21,3906,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_csa_cla_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d18
ex261,ex261_smul_booth_radix4_csa_cla_abc_g_aig_d13,1,186,21,3906,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_csa_cla_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig_d13
ex261,ex261_smul_booth_radix4_signed_abc_g_aig,1,174,23,4002,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_signed_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=abc_g_aig
ex261,ex261_smul_booth_radix4_signed_wreduce_abc_g_aig,1,174,23,4002,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_signed_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=wreduce_abc_g_aig
ex261,ex261_smul_booth_radix4_signed_synth_preset_d9,1,180,21,3780,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_signed_synth_preset_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=synth_preset_d9
ex261,ex261_smul_booth_radix4_signed_synth_preset_d13,1,180,21,3780,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_signed_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=synth_preset_d13
ex261,ex261_smul_booth_radix4_signed_synth_preset_d18,1,180,21,3780,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_signed_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=synth_preset_d18
ex261,ex261_smul_booth_radix4_signed_abc_g_aig_d13,1,174,23,4002,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_booth_radix4_signed_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=abc_g_aig_d13
ex261,ex261_smul_split_half_signed_abc_g_aig,1,176,24,4224,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_split_half_signed_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=abc_g_aig
ex261,ex261_smul_split_half_signed_wreduce_abc_g_aig,1,169,24,4056,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_split_half_signed_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=wreduce_abc_g_aig
ex261,ex261_smul_split_half_signed_synth_preset_d9,1,179,21,3759,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_split_half_signed_synth_preset_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=synth_preset_d9
ex261,ex261_smul_split_half_signed_synth_preset_d13,1,179,21,3759,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_split_half_signed_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=synth_preset_d13
ex261,ex261_smul_split_half_signed_synth_preset_d18,1,179,21,3759,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_split_half_signed_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=synth_preset_d18
ex261,ex261_smul_split_half_signed_abc_g_aig_d13,1,176,24,4224,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_split_half_signed_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=abc_g_aig_d13
ex261,ex261_smul_abs_sign_wallace_abc_g_aig,1,177,24,4248,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_abs_sign_wallace_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=abs_sign_wallace; flow=abc_g_aig
ex261,ex261_smul_abs_sign_wallace_wreduce_abc_g_aig,1,177,24,4248,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_abs_sign_wallace_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=abs_sign_wallace; flow=wreduce_abc_g_aig
ex261,ex261_smul_abs_sign_wallace_synth_preset_d9,1,177,24,4248,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex261/aigs/ex261_smul_abs_sign_wallace_synth_preset_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=abs_sign_wallace; flow=synth_preset_d9
