case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9,1,92,13,1196,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11,1,92,13,1196,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13,1,92,13,1196,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15,1,92,13,1196,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9,1,92,14,1288,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d11,1,92,14,1288,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d15,1,92,14,1288,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d9,1,90,14,1260,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d11,1,90,14,1260,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d13,1,90,14,1260,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d15,1,90,14,1260,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d9,1,92,14,1288,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d11,1,92,14,1288,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d15,1,92,14,1288,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d9,1,91,14,1274,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d11,1,91,14,1274,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d13,1,91,14,1274,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d15,1,91,14,1274,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d9,1,89,16,1424,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d11,1,89,16,1424,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d15,1,89,16,1424,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d9,1,90,16,1440,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d11,1,90,16,1440,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d13,1,90,16,1440,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d15,1,90,16,1440,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9,1,91,14,1274,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d11,1,91,14,1274,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d15,1,91,14,1274,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d9,1,95,14,1330,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d11,1,95,14,1330,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d13,1,95,14,1330,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d15,1,95,14,1330,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d9,1,94,14,1316,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d11,1,94,14,1316,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d15,1,94,14,1316,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d15.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d15
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9,1,164,18,2952,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d9
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11,1,164,18,2952,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d11
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13,1,164,18,2952,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15,1,164,18,2952,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d15
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d9,1,164,18,2952,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d9
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d11,1,164,18,2952,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d11.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d11
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d15,1,164,18,2952,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d15.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d15
ex261,ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d9,1,161,19,3059,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d9
ex261,ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d11,1,161,19,3059,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d11.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d11
ex261,ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d13,1,161,19,3059,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d15,1,161,19,3059,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d15.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d15
ex261,ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d9,1,163,19,3097,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d9
ex261,ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d11,1,163,19,3097,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d11.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d11
ex261,ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d15,1,163,19,3097,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d15.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d15
ex261,ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d9,1,156,21,3276,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d9.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig_d9
