case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla3+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla3.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_abc_g_aig.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla3.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_wreduce_abc_g_aig.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.619,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla3+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla3.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,2.056,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.365,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.271,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla5_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla5+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla5.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla5_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla5; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla5_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla5+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla5.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla5_wreduce_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla5; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla5_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla5+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla5.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla5_synth_preset_d13.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.263,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla5; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla3_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla3+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla3.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla3_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.203,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla3_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla3.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla3_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla3; flow=wreduce_abc_g_aig
