case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d9.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d11.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d15,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d15.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.213,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d9,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d9.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.272,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.269,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d13,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.270,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d15,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d15,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d15.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.269,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d18,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d18.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.270,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d18
