case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_ex260_qmc_bits_abc_g_aig,signed low4_high4:a*b,ex260_qmc_bits+abc_g_aig,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_ex260_qmc_bits.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_ex260_qmc_bits_abc_g_aig.aig,1,1,1,236,10,2360,657,3.592085,0,0,0.253,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_qmc_bits; flow=abc_g_aig
ex260,ex260_smul_ex260_qmc_bits_wreduce_abc_g_aig,signed low4_high4:a*b,ex260_qmc_bits+wreduce_abc_g_aig,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_ex260_qmc_bits.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_ex260_qmc_bits_wreduce_abc_g_aig.aig,1,1,1,236,10,2360,657,3.592085,0,0,0.251,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_qmc_bits; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_qmc_bits_synth_preset_d13,signed low4_high4:a*b,ex260_qmc_bits+synth_preset_d13,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_ex260_qmc_bits.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_ex260_qmc_bits_synth_preset_d13.aig,1,1,1,230,10,2300,657,3.500761,0,0,0.361,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_qmc_bits; flow=synth_preset_d13
ex260,ex260_smul_ex260_qmc_bits_abc_g_aig_d9,signed low4_high4:a*b,ex260_qmc_bits+abc_g_aig_d9,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_ex260_qmc_bits.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_ex260_qmc_bits_abc_g_aig_d9.aig,1,1,1,236,10,2360,657,3.592085,0,0,0.243,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_qmc_bits; flow=abc_g_aig_d9
ex260,ex260_smul_ex260_qmc_bits_abc_g_aig_d11,signed low4_high4:a*b,ex260_qmc_bits+abc_g_aig_d11,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_ex260_qmc_bits.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_ex260_qmc_bits_abc_g_aig_d11.aig,1,1,1,236,10,2360,657,3.592085,0,0,0.243,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_qmc_bits; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.283,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig_d9,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig_d11,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.205,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.218,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
