case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_ex260_qmc_bits_abc_g_aig,1,236,10,2360,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_ex260_qmc_bits_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_qmc_bits; flow=abc_g_aig
ex260,ex260_smul_ex260_qmc_bits_wreduce_abc_g_aig,1,236,10,2360,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_ex260_qmc_bits_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_qmc_bits; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_qmc_bits_synth_preset_d13,1,230,10,2300,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_ex260_qmc_bits_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_qmc_bits; flow=synth_preset_d13
ex260,ex260_smul_ex260_qmc_bits_abc_g_aig_d9,1,236,10,2360,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_ex260_qmc_bits_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_qmc_bits; flow=abc_g_aig_d9
ex260,ex260_smul_ex260_qmc_bits_abc_g_aig_d11,1,236,10,2360,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_ex260_qmc_bits_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=ex260_qmc_bits; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,88,13,1144,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,1,88,16,1408,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9,1,88,13,1144,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11,1,88,13,1144,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,92,13,1196,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,92,14,1288,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9,1,92,13,1196,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11,1,92,13,1196,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_abc_g_aig,1,88,14,1232,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,1,88,14,1232,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13,1,88,14,1232,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_abc_g_aig_d9,1,88,14,1232,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_abc_g_aig_d11,1,88,14,1232,student/work/ex260_frontend_smul_qmc_bits_20260609_0602/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig_d11
