case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_split_half_signed_abc_g_aig,1,96,20,1920,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=abc_g_aig
ex260,ex260_smul_split_half_signed_wreduce_abc_g_aig,1,95,20,1900,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_split_half_signed_synth_preset_d9,1,96,14,1344,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=synth_preset_d9
ex260,ex260_smul_split_half_signed_synth_preset_d13,1,96,14,1344,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=synth_preset_d13
ex260,ex260_smul_split_half_signed_synth_preset_d18,1,96,14,1344,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=synth_preset_d18
ex260,ex260_smul_split_half_abs_abc_g_aig,1,103,21,2163,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_abs_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=split_half_abs; flow=abc_g_aig
ex260,ex260_smul_split_half_abs_wreduce_abc_g_aig,1,103,21,2163,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_abs_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=split_half_abs; flow=wreduce_abc_g_aig
ex260,ex260_smul_split_half_abs_synth_preset_d9,1,103,17,1751,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_abs_synth_preset_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=split_half_abs; flow=synth_preset_d9
ex260,ex260_smul_split_half_abs_synth_preset_d13,1,103,17,1751,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_abs_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=split_half_abs; flow=synth_preset_d13
ex260,ex260_smul_split_half_abs_synth_preset_d18,1,103,17,1751,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_abs_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=split_half_abs; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla2_abc_g_aig,1,91,14,1274,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla2_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla2; flow=abc_g_aig
