case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_baugh_wooley_wallace_csel2_abc_g_aig,1,158,21,3318,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel2_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel2; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_csel2_wreduce_abc_g_aig,1,159,20,3180,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel2_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel2; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_csel2_synth_preset_d13,1,159,20,3180,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel2_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel2; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_csel2_synth_preset_d18,1,159,20,3180,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel2_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel2; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_csel3_abc_g_aig,1,158,19,3002,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel3_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_csel3_wreduce_abc_g_aig,1,161,19,3059,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel3_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel3; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_csel3_synth_preset_d13,1,161,20,3220,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel3_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_csel3_synth_preset_d18,1,161,20,3220,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel3_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_csel4_abc_g_aig,1,159,20,3180,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel4_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_csel4_wreduce_abc_g_aig,1,160,19,3040,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel4_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_csel4_synth_preset_d13,1,159,20,3180,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel4_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_csel4_synth_preset_d18,1,159,20,3180,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_csel4_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_csel4; flow=synth_preset_d18
ex261,ex261_smul_karatsuba_split_signed_abc_g_aig,1,313,37,11581,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_karatsuba_split_signed_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=karatsuba_split_signed; flow=abc_g_aig
ex261,ex261_smul_karatsuba_split_signed_wreduce_abc_g_aig,1,290,41,11890,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_karatsuba_split_signed_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=karatsuba_split_signed; flow=wreduce_abc_g_aig
ex261,ex261_smul_karatsuba_split_signed_synth_preset_d13,1,305,39,11895,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_karatsuba_split_signed_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=karatsuba_split_signed; flow=synth_preset_d13
ex261,ex261_smul_karatsuba_split_signed_synth_preset_d18,1,305,39,11895,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_karatsuba_split_signed_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=karatsuba_split_signed; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,164,18,2952,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,164,18,2952,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
