case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_bdd_greedy_b_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_greedy_b_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_b_msb_abc_g_aig.aig,1,1,1,70,9,630,322,1.956522,0,0,0.193,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_b_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_greedy_b_msb_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_greedy_b_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_b_msb_wreduce_abc_g_aig.aig,1,1,1,70,9,630,322,1.956522,0,0,0.192,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_b_msb; flow=wreduce_abc_g_aig
ex265,ex265_udiv_bdd_greedy_b_msb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_greedy_b_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_b_msb_synth_preset.aig,1,1,1,76,9,684,322,2.124224,0,0,0.254,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_b_msb; flow=synth_preset
ex265,ex265_udiv_bdd_greedy_b_msb_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,bdd_greedy_b_msb+abc_g_aig_d18,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_b_msb_abc_g_aig_d18.aig,1,1,1,70,9,630,322,1.956522,0,0,0.191,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_b_msb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_greedy_b_msb_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,bdd_greedy_b_msb+abc_g_aig_d24,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_b_msb_abc_g_aig_d24.aig,1,1,1,70,9,630,322,1.956522,0,0,0.189,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_b_msb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_greedy_interleave_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_interleave_msb_abc_g_aig.aig,1,1,1,64,9,576,322,1.788820,0,0,0.198,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_greedy_interleave_msb_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_greedy_interleave_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_interleave_msb_wreduce_abc_g_aig.aig,1,1,1,64,9,576,322,1.788820,0,0,0.200,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=wreduce_abc_g_aig
ex265,ex265_udiv_bdd_greedy_interleave_msb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_interleave_msb_synth_preset.aig,1,1,1,59,9,531,322,1.649068,0,0,0.261,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset
ex265,ex265_udiv_bdd_greedy_interleave_msb_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig_d18,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_interleave_msb_abc_g_aig_d18.aig,1,1,1,64,9,576,322,1.788820,0,0,0.200,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_greedy_interleave_msb_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig_d24,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_interleave_msb_abc_g_aig_d24.aig,1,1,1,64,9,576,322,1.788820,0,0,0.195,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_greedy_b_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_greedy_b_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex266/verilog/ex266_udiv_bdd_greedy_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex266/aigs/ex266_udiv_bdd_greedy_b_msb_abc_g_aig.aig,1,1,1,177,13,2301,848,2.713443,0,0,0.227,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_greedy_b_msb; flow=abc_g_aig
