case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_abc_g_aig,unsigned low4_high4:a/b dbz=max,cof_bhi1_ahi1_bitbdd_wordmux+abc_g_aig,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_abc_g_aig.aig,1,1,1,70,9,630,322,1.956522,0,0,0.202,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,cof_bhi1_ahi1_bitbdd_wordmux+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,1,1,1,70,9,630,322,1.956522,0,0,0.204,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset,unsigned low4_high4:a/b dbz=max,cof_bhi1_ahi1_bitbdd_wordmux+synth_preset,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset.aig,1,1,1,64,9,576,322,1.788820,0,0,0.270,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d8,unsigned low4_high4:a/b dbz=max,cof_bhi1_ahi1_bitbdd_wordmux+synth_preset_d8,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d8.aig,1,1,1,64,9,576,322,1.788820,0,0,0.268,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset_d8
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d10,unsigned low4_high4:a/b dbz=max,cof_bhi1_ahi1_bitbdd_wordmux+synth_preset_d10,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d10.aig,1,1,1,64,9,576,322,1.788820,0,0,0.269,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset_d10
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d12,unsigned low4_high4:a/b dbz=max,cof_bhi1_ahi1_bitbdd_wordmux+synth_preset_d12,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d12.aig,1,1,1,64,9,576,322,1.788820,0,0,0.269,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset_d12
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig,unsigned low4_high4:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+abc_g_aig,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig.aig,1,1,1,65,8,520,322,1.614907,0,0,0.210,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,1,1,1,65,8,520,322,1.614907,0,0,0.216,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset,unsigned low4_high4:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+synth_preset,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset.aig,1,1,1,65,9,585,322,1.816770,0,0,0.276,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d8,unsigned low4_high4:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+synth_preset_d8,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d8.aig,1,1,1,65,9,585,322,1.816770,0,0,0.276,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset_d8
ex265,ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d10,unsigned low4_high4:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+synth_preset_d10,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/verilog/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d10.aig,1,1,1,65,9,585,322,1.816770,0,0,0.273,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset_d10
