case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex265,ex265_udiv_bdd_b_msb_abc_g_aig,1,66,8,528,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_b_msb_synth_preset,1,75,10,750,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex265,ex265_udiv_bdd_b_msb_abc_g_aig_d18,1,66,8,528,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_abc_g_aig_d18.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_b_msb_abc_g_aig_d24,1,66,8,528,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_abc_g_aig_d24.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig,1,63,10,630,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig
ex265,ex265_udiv_bdd_b_msb_a_lsb_synth_preset,1,63,9,567,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_a_lsb_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=synth_preset
ex265,ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18,1,63,10,630,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24,1,63,10,630,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_interleave_msb_abc_g_aig,1,68,10,680,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_msb_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_interleave_msb_synth_preset,1,62,10,620,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_msb_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex265,ex265_udiv_bdd_interleave_msb_abc_g_aig_d18,1,68,10,680,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_msb_abc_g_aig_d18.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_interleave_msb_abc_g_aig_d24,1,68,10,680,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_msb_abc_g_aig_d24.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_interleave_lsb_abc_g_aig,1,78,11,858,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_lsb_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig
ex265,ex265_udiv_bdd_interleave_lsb_synth_preset,1,77,12,924,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_lsb_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_lsb; flow=synth_preset
ex265,ex265_udiv_bdd_interleave_lsb_abc_g_aig_d18,1,78,11,858,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_lsb_abc_g_aig_d18.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_interleave_lsb_abc_g_aig_d24,1,78,11,858,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_lsb_abc_g_aig_d24.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig,1,70,10,700,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_interleave_a_first_msb_synth_preset,1,67,9,603,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_a_first_msb_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=synth_preset
ex265,ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig_d18,1,70,10,700,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig_d18.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24,1,70,10,700,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d24
