case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_direct_safe_default,unsigned low4_high4:a/b dbz=max,direct_safe+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_direct_safe_default.aig,1,1,1,53,17,901,322,2.798137,0,0,0.253,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_safe; flow=default
ex265,ex265_udiv_direct_safe_abc_g_aig,unsigned low4_high4:a/b dbz=max,direct_safe+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_direct_safe_abc_g_aig.aig,1,1,1,53,17,901,322,2.798137,0,0,0.256,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_safe; flow=abc_g_aig
ex265,ex265_udiv_direct_safe_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,direct_safe+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_direct_safe_wreduce_abc_g_aig.aig,1,1,1,53,17,901,322,2.798137,0,0,0.255,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_safe; flow=wreduce_abc_g_aig
ex265,ex265_udiv_direct_safe_synth_preset,unsigned low4_high4:a/b dbz=max,direct_safe+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_direct_safe_synth_preset.aig,1,1,1,53,16,848,322,2.633540,0,0,0.305,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_safe; flow=synth_preset
ex265,ex265_udiv_direct_gt_guard_default,unsigned low4_high4:a/b dbz=max,direct_gt_guard+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_direct_gt_guard_default.aig,1,1,1,52,18,936,322,2.906832,0,0,0.262,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=default
ex265,ex265_udiv_direct_gt_guard_abc_g_aig,unsigned low4_high4:a/b dbz=max,direct_gt_guard+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_direct_gt_guard_abc_g_aig.aig,1,1,1,51,18,918,322,2.850932,0,0,0.260,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig
ex265,ex265_udiv_direct_gt_guard_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,direct_gt_guard+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_direct_gt_guard_wreduce_abc_g_aig.aig,1,1,1,51,18,918,322,2.850932,0,0,0.262,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=wreduce_abc_g_aig
ex265,ex265_udiv_direct_gt_guard_synth_preset,unsigned low4_high4:a/b dbz=max,direct_gt_guard+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_direct_gt_guard_synth_preset.aig,1,1,1,48,18,864,322,2.683230,0,0,0.337,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=synth_preset
ex265,ex265_udiv_restoring_gt_guard_default,unsigned low4_high4:a/b dbz=max,restoring_gt_guard+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_restoring_gt_guard_default.aig,1,1,1,59,22,1298,322,4.031056,0,0,0.245,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_gt_guard; flow=default
ex265,ex265_udiv_restoring_gt_guard_abc_g_aig,unsigned low4_high4:a/b dbz=max,restoring_gt_guard+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_restoring_gt_guard_abc_g_aig.aig,1,1,1,59,22,1298,322,4.031056,0,0,0.244,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_gt_guard; flow=abc_g_aig
