case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_bdd_b_msb_synth_preset_d18,unsigned low4_high4:a/b dbz=max,bdd_b_msb+synth_preset_d18,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_b_msb_synth_preset_d18.aig,1,1,1,75,10,750,322,2.329193,0,0,0.258,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset_d18
ex265,ex265_udiv_bdd_b_msb_synth_preset_d20,unsigned low4_high4:a/b dbz=max,bdd_b_msb+synth_preset_d20,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_b_msb_synth_preset_d20.aig,1,1,1,75,10,750,322,2.329193,0,0,0.262,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset_d20
ex265,ex265_udiv_bdd_b_msb_synth_preset_d24,unsigned low4_high4:a/b dbz=max,bdd_b_msb+synth_preset_d24,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_b_msb_synth_preset_d24.aig,1,1,1,75,10,750,322,2.329193,0,0,0.263,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset_d24
ex265,ex265_udiv_bdd_b_msb_synth_preset_d28,unsigned low4_high4:a/b dbz=max,bdd_b_msb+synth_preset_d28,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_b_msb_synth_preset_d28.aig,1,1,1,75,10,750,322,2.329193,0,0,0.260,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset_d28
ex265,ex265_udiv_bdd_b_msb_synth_preset_d32,unsigned low4_high4:a/b dbz=max,bdd_b_msb+synth_preset_d32,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_b_msb_synth_preset_d32.aig,1,1,1,75,10,750,322,2.329193,0,0,0.263,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset_d32
ex265,ex265_udiv_bdd_interleave_msb_synth_preset_d18,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+synth_preset_d18,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_interleave_msb_synth_preset_d18.aig,1,1,1,62,10,620,322,1.925466,0,0,0.259,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d18
ex265,ex265_udiv_bdd_interleave_msb_synth_preset_d20,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+synth_preset_d20,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_interleave_msb_synth_preset_d20.aig,1,1,1,62,10,620,322,1.925466,0,0,0.257,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d20
ex265,ex265_udiv_bdd_interleave_msb_synth_preset_d24,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+synth_preset_d24,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_interleave_msb_synth_preset_d24.aig,1,1,1,62,10,620,322,1.925466,0,0,0.282,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d24
ex265,ex265_udiv_bdd_interleave_msb_synth_preset_d28,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+synth_preset_d28,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_interleave_msb_synth_preset_d28.aig,1,1,1,62,10,620,322,1.925466,0,0,0.257,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d28
ex265,ex265_udiv_bdd_interleave_msb_synth_preset_d32,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+synth_preset_d32,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_interleave_msb_synth_preset_d32.aig,1,1,1,62,10,620,322,1.925466,0,0,0.257,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d32
ex265,ex265_udiv_bdd_greedy_interleave_msb_synth_preset_d18,unsigned low4_high4:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset_d18,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_greedy_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_greedy_interleave_msb_synth_preset_d18.aig,1,1,1,59,9,531,322,1.649068,0,0,0.260,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset_d18
