case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_hybrid_bdd_hi2_bmsb_resid_direct_abc_g_aig,1,90,27,2430,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_bmsb_resid_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_bmsb_resid_direct_wreduce_abc_g_aig,1,89,28,2492,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_bmsb_resid_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_bmsb_resid_direct_synth_preset,1,88,28,2464,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_bmsb_resid_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi3_bmsb_resid_direct_abc_g_aig,1,103,31,3193,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_bmsb_resid_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_bmsb_resid_direct_wreduce_abc_g_aig,1,103,31,3193,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_bmsb_resid_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_bmsb_resid_direct_synth_preset,1,101,30,3030,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_bmsb_resid_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi4_bmsb_resid_direct_abc_g_aig,1,151,29,4379,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_bmsb_resid_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_bmsb_resid_direct_wreduce_abc_g_aig,1,154,26,4004,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_bmsb_resid_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_bmsb_resid_direct_synth_preset,1,144,28,4032,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_bmsb_resid_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig,1,90,29,2610,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig,1,90,29,2610,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset,1,88,28,2464,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig,1,103,32,3296,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig,1,103,32,3296,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset,1,98,30,2940,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig,1,147,28,4116,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig,1,148,28,4144,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset,1,130,25,3250,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=synth_preset
