case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_lz_threshold_low2_case_abc_g_aig,1,219,19,4161,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low2_case_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low2_case; flow=abc_g_aig
ex266,ex266_udiv_lz_threshold_low2_case_wreduce_abc_g_aig,1,221,19,4199,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low2_case_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low2_case; flow=wreduce_abc_g_aig
ex266,ex266_udiv_lz_threshold_low2_case_synth_preset,1,208,17,3536,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low2_case_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low2_case; flow=synth_preset
ex266,ex266_udiv_lz_threshold_low3_case_abc_g_aig,1,173,12,2076,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low3_case_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low3_case; flow=abc_g_aig
ex266,ex266_udiv_lz_threshold_low3_case_wreduce_abc_g_aig,1,183,13,2379,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low3_case_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low3_case; flow=wreduce_abc_g_aig
ex266,ex266_udiv_lz_threshold_low3_case_synth_preset,1,155,34,5270,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low3_case_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low3_case; flow=synth_preset
ex266,ex266_udiv_lz_threshold_low4_case_abc_g_aig,1,207,12,2484,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low4_case_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low4_case; flow=abc_g_aig
ex266,ex266_udiv_lz_threshold_low4_case_wreduce_abc_g_aig,1,204,12,2448,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low4_case_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low4_case; flow=wreduce_abc_g_aig
ex266,ex266_udiv_lz_threshold_low4_case_synth_preset,1,159,36,5724,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low4_case_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low4_case; flow=synth_preset
ex267,ex267_udiv_lz_threshold_low2_case_abc_g_aig,1,596,36,21456,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low2_case_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low2_case; flow=abc_g_aig
ex267,ex267_udiv_lz_threshold_low2_case_wreduce_abc_g_aig,1,597,35,20895,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low2_case_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low2_case; flow=wreduce_abc_g_aig
