case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_radix4_top1_shift_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_top1_shift+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/verilog/ex266_udiv_radix4_top1_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top1_shift_abc_g_aig.aig,1,1,1,95,29,2755,848,3.248821,0,0,0.294,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_top1_shift; flow=abc_g_aig
ex266,ex266_udiv_radix4_top1_shift_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_top1_shift+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/verilog/ex266_udiv_radix4_top1_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top1_shift_wreduce_abc_g_aig.aig,1,1,1,94,30,2820,848,3.325472,0,0,0.325,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_top1_shift; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_top1_shift_synth_preset,unsigned low5_high5:a/b dbz=max,radix4_top1_shift+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/verilog/ex266_udiv_radix4_top1_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top1_shift_synth_preset.aig,1,1,1,91,30,2730,848,3.219340,0,0,0.360,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_top1_shift; flow=synth_preset
ex266,ex266_udiv_radix4_top2_shift_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_top2_shift+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/verilog/ex266_udiv_radix4_top2_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top2_shift_abc_g_aig.aig,1,1,1,136,23,3128,848,3.688679,0,0,0.322,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_top2_shift; flow=abc_g_aig
ex266,ex266_udiv_radix4_top2_shift_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_top2_shift+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/verilog/ex266_udiv_radix4_top2_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top2_shift_wreduce_abc_g_aig.aig,1,1,1,135,22,2970,848,3.502358,0,0,0.343,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_top2_shift; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_top2_shift_synth_preset,unsigned low5_high5:a/b dbz=max,radix4_top2_shift+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/verilog/ex266_udiv_radix4_top2_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top2_shift_synth_preset.aig,1,1,1,140,23,3220,848,3.797170,0,0,0.381,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_top2_shift; flow=synth_preset
ex266,ex266_udiv_radix4_top3_shift_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_top3_shift+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/verilog/ex266_udiv_radix4_top3_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top3_shift_abc_g_aig.aig,1,1,1,136,23,3128,848,3.688679,0,0,0.321,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_shift; flow=abc_g_aig
ex266,ex266_udiv_radix4_top3_shift_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_top3_shift+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/verilog/ex266_udiv_radix4_top3_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top3_shift_wreduce_abc_g_aig.aig,1,1,1,135,22,2970,848,3.502358,0,0,0.348,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_shift; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_top3_shift_synth_preset,unsigned low5_high5:a/b dbz=max,radix4_top3_shift+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/verilog/ex266_udiv_radix4_top3_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top3_shift_synth_preset.aig,1,1,1,140,23,3220,848,3.797170,0,0,0.379,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_shift; flow=synth_preset
ex267,ex267_udiv_radix4_top1_shift_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_top1_shift+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/verilog/ex267_udiv_radix4_top1_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top1_shift_abc_g_aig.aig,1,1,1,146,42,6132,2651,2.313089,0,0,0.336,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top1_shift; flow=abc_g_aig
ex267,ex267_udiv_radix4_top1_shift_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_top1_shift+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/verilog/ex267_udiv_radix4_top1_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top1_shift_wreduce_abc_g_aig.aig,1,1,1,142,42,5964,2651,2.249717,0,0,0.372,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top1_shift; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_top1_shift_synth_preset,unsigned low6_high6:a/b dbz=max,radix4_top1_shift+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/verilog/ex267_udiv_radix4_top1_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top1_shift_synth_preset.aig,1,1,1,139,42,5838,2651,2.202188,0,0,0.418,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top1_shift; flow=synth_preset
ex267,ex267_udiv_radix4_top2_shift_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_top2_shift+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/verilog/ex267_udiv_radix4_top2_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top2_shift_abc_g_aig.aig,1,1,1,179,36,6444,2651,2.430781,0,0,0.384,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top2_shift; flow=abc_g_aig
ex267,ex267_udiv_radix4_top2_shift_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_top2_shift+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/verilog/ex267_udiv_radix4_top2_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top2_shift_wreduce_abc_g_aig.aig,1,1,1,180,36,6480,2651,2.444361,0,0,0.392,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top2_shift; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_top2_shift_synth_preset,unsigned low6_high6:a/b dbz=max,radix4_top2_shift+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/verilog/ex267_udiv_radix4_top2_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top2_shift_synth_preset.aig,1,1,1,185,35,6475,2651,2.442475,0,0,0.420,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top2_shift; flow=synth_preset
ex267,ex267_udiv_radix4_top3_shift_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_top3_shift+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/verilog/ex267_udiv_radix4_top3_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top3_shift_abc_g_aig.aig,1,1,1,199,28,5572,2651,2.101848,0,0,0.364,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_shift; flow=abc_g_aig
ex267,ex267_udiv_radix4_top3_shift_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_top3_shift+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/verilog/ex267_udiv_radix4_top3_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top3_shift_wreduce_abc_g_aig.aig,1,1,1,196,25,4900,2651,1.848359,0,0,0.403,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_shift; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_top3_shift_synth_preset,unsigned low6_high6:a/b dbz=max,radix4_top3_shift+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/verilog/ex267_udiv_radix4_top3_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top3_shift_synth_preset.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.431,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_shift; flow=synth_preset
ex269,ex269_udiv_radix4_top1_shift_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_top1_shift+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/verilog/ex269_udiv_radix4_top1_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top1_shift_abc_g_aig.aig,1,1,1,275,77,21175,11760,1.800595,0,0,0.508,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_top1_shift; flow=abc_g_aig
ex269,ex269_udiv_radix4_top1_shift_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_top1_shift+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/verilog/ex269_udiv_radix4_top1_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top1_shift_wreduce_abc_g_aig.aig,1,1,1,274,77,21098,11760,1.794048,0,0,0.543,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_top1_shift; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_top1_shift_synth_preset,unsigned low8_high8:a/b dbz=max,radix4_top1_shift+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/verilog/ex269_udiv_radix4_top1_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top1_shift_synth_preset.aig,1,1,1,270,79,21330,11760,1.813776,0,0,0.558,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_top1_shift; flow=synth_preset
ex269,ex269_udiv_radix4_top2_shift_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_top2_shift+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/verilog/ex269_udiv_radix4_top2_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top2_shift_abc_g_aig.aig,1,1,1,310,68,21080,11760,1.792517,0,0,0.529,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_top2_shift; flow=abc_g_aig
