case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_mtbdd_b_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,mtbdd_b_msb+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_b_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_msb_abc_g_aig.aig,1,1,1,178,13,2314,848,2.728774,0,0,0.253,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_msb; flow=abc_g_aig
ex266,ex266_udiv_mtbdd_b_msb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,mtbdd_b_msb+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_b_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_msb_wreduce_abc_g_aig.aig,1,1,1,198,12,2376,848,2.801887,0,0,0.254,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_mtbdd_b_msb_synth_preset,unsigned low5_high5:a/b dbz=max,mtbdd_b_msb+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_b_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_msb_synth_preset.aig,1,1,1,162,13,2106,848,2.483491,0,0,0.337,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_msb; flow=synth_preset
ex266,ex266_udiv_mtbdd_interleave_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,mtbdd_interleave_msb+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_msb_abc_g_aig.aig,1,1,1,154,14,2156,848,2.542453,0,0,0.242,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=abc_g_aig
ex266,ex266_udiv_mtbdd_interleave_msb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,mtbdd_interleave_msb+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_msb_wreduce_abc_g_aig.aig,1,1,1,156,14,2184,848,2.575472,0,0,0.247,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_mtbdd_interleave_msb_synth_preset,unsigned low5_high5:a/b dbz=max,mtbdd_interleave_msb+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_msb_synth_preset.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.319,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=synth_preset
ex266,ex266_udiv_mtbdd_interleave_a_first_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,mtbdd_interleave_a_first_msb+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_interleave_a_first_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_a_first_msb_abc_g_aig.aig,1,1,1,167,12,2004,848,2.363208,0,0,0.253,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=abc_g_aig
ex266,ex266_udiv_mtbdd_interleave_a_first_msb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,mtbdd_interleave_a_first_msb+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_interleave_a_first_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_a_first_msb_wreduce_abc_g_aig.aig,1,1,1,154,12,1848,848,2.179245,0,0,0.265,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_mtbdd_interleave_a_first_msb_synth_preset,unsigned low5_high5:a/b dbz=max,mtbdd_interleave_a_first_msb+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_interleave_a_first_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_interleave_a_first_msb_synth_preset.aig,1,1,1,163,13,2119,848,2.498821,0,0,0.351,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=synth_preset
ex266,ex266_udiv_mtbdd_b_lsb_a_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,mtbdd_b_lsb_a_msb+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_b_lsb_a_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_lsb_a_msb_abc_g_aig.aig,1,1,1,212,13,2756,848,3.250000,0,0,0.258,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=abc_g_aig
ex266,ex266_udiv_mtbdd_b_lsb_a_msb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,mtbdd_b_lsb_a_msb+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_b_lsb_a_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_lsb_a_msb_wreduce_abc_g_aig.aig,1,1,1,227,12,2724,848,3.212264,0,0,0.263,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_mtbdd_b_lsb_a_msb_synth_preset,unsigned low5_high5:a/b dbz=max,mtbdd_b_lsb_a_msb+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/verilog/ex266_udiv_mtbdd_b_lsb_a_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_lsb_a_msb_synth_preset.aig,1,1,1,206,12,2472,848,2.915094,0,0,0.343,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=synth_preset
ex267,ex267_udiv_mtbdd_b_msb_abc_g_aig,unsigned low6_high6:a/b dbz=max,mtbdd_b_msb+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/verilog/ex267_udiv_mtbdd_b_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_b_msb_abc_g_aig.aig,1,1,1,482,16,7712,2651,2.909091,0,0,0.381,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_b_msb; flow=abc_g_aig
ex267,ex267_udiv_mtbdd_b_msb_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,mtbdd_b_msb+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/verilog/ex267_udiv_mtbdd_b_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_b_msb_wreduce_abc_g_aig.aig,1,1,1,495,16,7920,2651,2.987552,0,0,0.375,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_b_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_mtbdd_b_msb_synth_preset,unsigned low6_high6:a/b dbz=max,mtbdd_b_msb+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/verilog/ex267_udiv_mtbdd_b_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_b_msb_synth_preset.aig,1,1,1,385,16,6160,2651,2.323651,0,0,0.509,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_b_msb; flow=synth_preset
ex267,ex267_udiv_mtbdd_interleave_msb_abc_g_aig,unsigned low6_high6:a/b dbz=max,mtbdd_interleave_msb+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/verilog/ex267_udiv_mtbdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_interleave_msb_abc_g_aig.aig,1,1,1,343,16,5488,2651,2.070162,0,0,0.331,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=abc_g_aig
ex267,ex267_udiv_mtbdd_interleave_msb_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,mtbdd_interleave_msb+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/verilog/ex267_udiv_mtbdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_interleave_msb_wreduce_abc_g_aig.aig,1,1,1,342,16,5472,2651,2.064127,0,0,0.349,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=wreduce_abc_g_aig
