case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_hybrid_top1_a43_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top1_a43+abc_g_aig,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top1_a43.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top1_a43_abc_g_aig.aig,1,1,1,150,11,1650,848,1.945755,0,0,0.260,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top1_a43; flow=abc_g_aig
ex266,ex266_udiv_ex266_hybrid_top1_a43_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top1_a43+wreduce_abc_g_aig,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top1_a43.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top1_a43_wreduce_abc_g_aig.aig,1,1,1,150,11,1650,848,1.945755,0,0,0.251,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top1_a43; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_hybrid_top1_a43_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top1_a43+synth_preset,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top1_a43.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top1_a43_synth_preset.aig,1,1,1,142,11,1562,848,1.841981,0,0,0.318,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top1_a43; flow=synth_preset
ex266,ex266_udiv_ex266_hybrid_top1_a43_synth_preset_d8,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top1_a43+synth_preset_d8,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top1_a43.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top1_a43_synth_preset_d8.aig,1,1,1,142,11,1562,848,1.841981,0,0,0.321,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top1_a43; flow=synth_preset_d8
ex266,ex266_udiv_ex266_hybrid_top1_a43_synth_preset_d10,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top1_a43+synth_preset_d10,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top1_a43.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top1_a43_synth_preset_d10.aig,1,1,1,142,11,1562,848,1.841981,0,0,0.317,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top1_a43; flow=synth_preset_d10
ex266,ex266_udiv_ex266_hybrid_top2_a43_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top2_a43+abc_g_aig,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top2_a43.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top2_a43_abc_g_aig.aig,1,1,1,151,11,1661,848,1.958726,0,0,0.248,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top2_a43; flow=abc_g_aig
ex266,ex266_udiv_ex266_hybrid_top2_a43_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top2_a43+wreduce_abc_g_aig,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top2_a43.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top2_a43_wreduce_abc_g_aig.aig,1,1,1,151,11,1661,848,1.958726,0,0,0.251,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top2_a43; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_hybrid_top2_a43_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top2_a43+synth_preset,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top2_a43.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top2_a43_synth_preset.aig,1,1,1,152,11,1672,848,1.971698,0,0,0.334,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top2_a43; flow=synth_preset
ex266,ex266_udiv_ex266_hybrid_top2_a43_synth_preset_d8,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top2_a43+synth_preset_d8,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top2_a43.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top2_a43_synth_preset_d8.aig,1,1,1,152,11,1672,848,1.971698,0,0,0.320,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top2_a43; flow=synth_preset_d8
ex266,ex266_udiv_ex266_hybrid_top2_a43_synth_preset_d10,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top2_a43+synth_preset_d10,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top2_a43.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top2_a43_synth_preset_d10.aig,1,1,1,152,11,1672,848,1.971698,0,0,0.320,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top2_a43; flow=synth_preset_d10
ex266,ex266_udiv_ex266_hybrid_top1_b2a4_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top1_b2a4+abc_g_aig,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top1_b2a4.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top1_b2a4_abc_g_aig.aig,1,1,1,150,12,1800,848,2.122642,0,0,0.244,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top1_b2a4; flow=abc_g_aig
ex266,ex266_udiv_ex266_hybrid_top1_b2a4_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top1_b2a4+wreduce_abc_g_aig,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top1_b2a4.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top1_b2a4_wreduce_abc_g_aig.aig,1,1,1,150,12,1800,848,2.122642,0,0,0.257,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top1_b2a4; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_hybrid_top1_b2a4_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top1_b2a4+synth_preset,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top1_b2a4.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top1_b2a4_synth_preset.aig,1,1,1,148,11,1628,848,1.919811,0,0,0.314,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top1_b2a4; flow=synth_preset
ex266,ex266_udiv_ex266_hybrid_top1_b2a4_synth_preset_d8,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top1_b2a4+synth_preset_d8,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top1_b2a4.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top1_b2a4_synth_preset_d8.aig,1,1,1,148,11,1628,848,1.919811,0,0,0.350,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top1_b2a4; flow=synth_preset_d8
ex266,ex266_udiv_ex266_hybrid_top1_b2a4_synth_preset_d10,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top1_b2a4+synth_preset_d10,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top1_b2a4.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top1_b2a4_synth_preset_d10.aig,1,1,1,148,11,1628,848,1.919811,0,0,0.319,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top1_b2a4; flow=synth_preset_d10
ex266,ex266_udiv_ex266_hybrid_top2_b2a4_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top2_b2a4+abc_g_aig,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top2_b2a4.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top2_b2a4_abc_g_aig.aig,1,1,1,151,11,1661,848,1.958726,0,0,0.244,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top2_b2a4; flow=abc_g_aig
ex266,ex266_udiv_ex266_hybrid_top2_b2a4_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top2_b2a4+wreduce_abc_g_aig,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top2_b2a4.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top2_b2a4_wreduce_abc_g_aig.aig,1,1,1,151,11,1661,848,1.958726,0,0,0.250,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top2_b2a4; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_hybrid_top2_b2a4_synth_preset,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top2_b2a4+synth_preset,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top2_b2a4.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top2_b2a4_synth_preset.aig,1,1,1,148,11,1628,848,1.919811,0,0,0.309,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top2_b2a4; flow=synth_preset
ex266,ex266_udiv_ex266_hybrid_top2_b2a4_synth_preset_d8,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top2_b2a4+synth_preset_d8,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top2_b2a4.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top2_b2a4_synth_preset_d8.aig,1,1,1,148,11,1628,848,1.919811,0,0,0.310,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top2_b2a4; flow=synth_preset_d8
ex266,ex266_udiv_ex266_hybrid_top2_b2a4_synth_preset_d10,unsigned lowN_highN:a/b dbz=max,udiv_ex266_hybrid_top2_b2a4+synth_preset_d10,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/verilog/ex266_udiv_ex266_hybrid_top2_b2a4.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex266/aigs/ex266_udiv_ex266_hybrid_top2_b2a4_synth_preset_d10.aig,1,1,1,148,11,1628,848,1.919811,0,0,0.311,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=udiv_ex266_hybrid_top2_b2a4; flow=synth_preset_d10
ex276,ex276_isqrt_threshold_toggle_bits_abc_g_aig,unsigned_floor_isqrt,isqrt_threshold_toggle_bits+abc_g_aig,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex276/verilog/ex276_isqrt_threshold_toggle_bits.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex276/aigs/ex276_isqrt_threshold_toggle_bits_abc_g_aig.aig,1,1,1,131,11,1441,632,2.280063,0,0,0.353,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=isqrt_threshold_toggle_bits; flow=abc_g_aig
ex276,ex276_isqrt_threshold_toggle_bits_wreduce_abc_g_aig,unsigned_floor_isqrt,isqrt_threshold_toggle_bits+wreduce_abc_g_aig,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex276/verilog/ex276_isqrt_threshold_toggle_bits.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex276/aigs/ex276_isqrt_threshold_toggle_bits_wreduce_abc_g_aig.aig,1,1,1,131,11,1441,632,2.280063,0,0,0.358,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=isqrt_threshold_toggle_bits; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_threshold_toggle_bits_synth_preset,unsigned_floor_isqrt,isqrt_threshold_toggle_bits+synth_preset,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex276/verilog/ex276_isqrt_threshold_toggle_bits.v,student/work/ex266_ex276_frontend_highgap_struct2_20260609_1750/ex276/aigs/ex276_isqrt_threshold_toggle_bits_synth_preset.aig,1,1,1,129,12,1548,632,2.449367,0,0,0.444,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=isqrt_threshold_toggle_bits; flow=synth_preset
