case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_bdd_qor_order0_abc_g_aig,1,160,13,2080,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=abc_g_aig
ex266,ex266_udiv_bdd_qor_order0_wreduce_abc_g_aig,1,160,13,2080,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_qor_order0_synth_preset,1,151,13,1963,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=synth_preset
ex266,ex266_udiv_bdd_qor_order0_synth_preset_d8,1,151,13,1963,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=synth_preset_d8
ex266,ex266_udiv_bdd_qor_order0_synth_preset_d10,1,151,13,1963,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=synth_preset_d10
ex266,ex266_udiv_bdd_qor_order0_synth_preset_d12,1,151,13,1963,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=synth_preset_d12
ex266,ex266_udiv_bdd_qor_order1_abc_g_aig,1,161,13,2093,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=abc_g_aig
ex266,ex266_udiv_bdd_qor_order1_wreduce_abc_g_aig,1,161,13,2093,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_qor_order1_synth_preset,1,148,13,1924,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=synth_preset
ex266,ex266_udiv_bdd_qor_order1_synth_preset_d8,1,148,13,1924,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=synth_preset_d8
ex266,ex266_udiv_bdd_qor_order1_synth_preset_d10,1,148,13,1924,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=synth_preset_d10
ex266,ex266_udiv_bdd_qor_order1_synth_preset_d12,1,148,13,1924,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=synth_preset_d12
ex266,ex266_udiv_bdd_qor_order2_abc_g_aig,1,158,14,2212,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order2_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order2; flow=abc_g_aig
ex266,ex266_udiv_bdd_qor_order2_wreduce_abc_g_aig,1,158,14,2212,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order2_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order2; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_qor_order2_synth_preset,1,159,13,2067,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order2_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order2; flow=synth_preset
ex266,ex266_udiv_bdd_qor_order2_synth_preset_d8,1,159,13,2067,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order2_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order2; flow=synth_preset_d8
ex266,ex266_udiv_bdd_qor_order2_synth_preset_d10,1,159,13,2067,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order2_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order2; flow=synth_preset_d10
ex266,ex266_udiv_bdd_qor_order2_synth_preset_d12,1,159,13,2067,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order2_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order2; flow=synth_preset_d12
