case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_abc_g_aig,1,151,12,1812,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_wreduce_abc_g_aig,1,155,12,1860,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset,1,151,13,1963,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d8,1,151,13,1963,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d10,1,151,13,1963,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d12,1,151,13,1963,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_abc_g_aig,1,162,12,1944,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_wreduce_abc_g_aig,1,158,13,2054,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset,1,162,12,1944,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d8,1,162,12,1944,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d10,1,162,12,1944,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d12,1,162,12,1944,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_abc_g_aig,1,177,11,1947,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_wreduce_abc_g_aig,1,176,11,1936,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset,1,169,11,1859,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d8,1,169,11,1859,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d10,1,169,11,1859,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d12,1,169,11,1859,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset_d12
