case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_abc_g_aig,1,152,11,1672,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_wreduce_abc_g_aig,1,152,11,1672,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset,1,148,10,1480,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d8,1,148,10,1480,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d10,1,148,10,1480,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d12,1,148,10,1480,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_abc_g_aig,1,166,10,1660,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_a43_bitbdd_wordmux; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_wreduce_abc_g_aig,1,166,10,1660,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_a43_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset,1,163,10,1630,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_a43_bitbdd_wordmux; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset_d8,1,163,10,1630,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_a43_bitbdd_wordmux; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset_d10,1,163,10,1630,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi3_a43_bitbdd_wordmux_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_a43_bitbdd_wordmux; flow=synth_preset_d10
