case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_formula_hi2_low3_bdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_formula_hi2_low3_bdd+abc_g_aig,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_formula_hi2_low3_bdd.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi2_low3_bdd_abc_g_aig.aig,1,1,1,155,12,1860,848,2.193396,0,0,0.276,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi2_low3_bdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_formula_hi2_low3_bdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_formula_hi2_low3_bdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_formula_hi2_low3_bdd.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi2_low3_bdd_wreduce_abc_g_aig.aig,1,1,1,155,12,1860,848,2.193396,0,0,0.237,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi2_low3_bdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_formula_hi2_low3_bdd+synth_preset,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_formula_hi2_low3_bdd.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset.aig,1,1,1,150,14,2100,848,2.476415,0,0,0.309,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi2_low3_bdd; flow=synth_preset
ex266,ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_formula_hi2_low3_bdd+synth_preset_d8,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_formula_hi2_low3_bdd.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset_d8.aig,1,1,1,150,14,2100,848,2.476415,0,0,0.306,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi2_low3_bdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_formula_hi2_low3_bdd+synth_preset_d10,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_formula_hi2_low3_bdd.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset_d10.aig,1,1,1,150,14,2100,848,2.476415,0,0,0.323,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi2_low3_bdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_formula_hi3_low2_bdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_formula_hi3_low2_bdd+abc_g_aig,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_formula_hi3_low2_bdd.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi3_low2_bdd_abc_g_aig.aig,1,1,1,153,14,2142,848,2.525943,0,0,0.240,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi3_low2_bdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_formula_hi3_low2_bdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_formula_hi3_low2_bdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_formula_hi3_low2_bdd.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi3_low2_bdd_wreduce_abc_g_aig.aig,1,1,1,153,14,2142,848,2.525943,0,0,0.248,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi3_low2_bdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_formula_hi3_low2_bdd+synth_preset,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_formula_hi3_low2_bdd.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset.aig,1,1,1,150,13,1950,848,2.299528,0,0,0.320,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi3_low2_bdd; flow=synth_preset
ex266,ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_formula_hi3_low2_bdd+synth_preset_d8,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_formula_hi3_low2_bdd.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset_d8.aig,1,1,1,150,13,1950,848,2.299528,0,0,0.350,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi3_low2_bdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_formula_hi3_low2_bdd+synth_preset_d10,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_formula_hi3_low2_bdd.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset_d10.aig,1,1,1,150,13,1950,848,2.299528,0,0,0.330,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi3_low2_bdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_interval_case_bits_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_interval_case_bits+abc_g_aig,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_bits.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_bits_abc_g_aig.aig,1,1,1,229,12,2748,848,3.240566,0,0,0.352,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_bits; flow=abc_g_aig
