case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_ex266_formula_hi2_low3_bdd_abc_g_aig,1,155,12,1860,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi2_low3_bdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi2_low3_bdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_formula_hi2_low3_bdd_wreduce_abc_g_aig,1,155,12,1860,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi2_low3_bdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi2_low3_bdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset,1,150,14,2100,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi2_low3_bdd; flow=synth_preset
ex266,ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset_d8,1,150,14,2100,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi2_low3_bdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset_d10,1,150,14,2100,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi2_low3_bdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi2_low3_bdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_formula_hi3_low2_bdd_abc_g_aig,1,153,14,2142,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi3_low2_bdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi3_low2_bdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_formula_hi3_low2_bdd_wreduce_abc_g_aig,1,153,14,2142,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi3_low2_bdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi3_low2_bdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset,1,150,13,1950,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi3_low2_bdd; flow=synth_preset
ex266,ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset_d8,1,150,13,1950,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi3_low2_bdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset_d10,1,150,13,1950,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_formula_hi3_low2_bdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_formula_hi3_low2_bdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_interval_case_bits_abc_g_aig,1,229,12,2748,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_bits_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_bits; flow=abc_g_aig
