case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_bdd_perbit_interleave_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_perbit_interleave_msb+abc_g_aig,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_interleave_msb_abc_g_aig.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.229,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_perbit_interleave_msb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_perbit_interleave_msb+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_interleave_msb_wreduce_abc_g_aig.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.227,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_perbit_interleave_msb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_perbit_interleave_msb+synth_preset,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_interleave_msb_synth_preset.aig,1,1,1,150,12,1800,848,2.122642,0,0,0.297,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=synth_preset
ex266,ex266_udiv_bdd_perbit_interleave_msb_synth_preset_d8,unsigned low5_high5:a/b dbz=max,bdd_perbit_interleave_msb+synth_preset_d8,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_interleave_msb_synth_preset_d8.aig,1,1,1,150,12,1800,848,2.122642,0,0,0.332,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=synth_preset_d8
ex266,ex266_udiv_bdd_perbit_interleave_msb_synth_preset_d10,unsigned low5_high5:a/b dbz=max,bdd_perbit_interleave_msb+synth_preset_d10,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_interleave_msb_synth_preset_d10.aig,1,1,1,150,12,1800,848,2.122642,0,0,0.299,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_interleave_msb; flow=synth_preset_d10
ex266,ex266_udiv_bdd_perbit_search_best_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_perbit_search_best+abc_g_aig,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_search_best.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_search_best_abc_g_aig.aig,1,1,1,158,14,2212,848,2.608491,0,0,0.249,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_search_best; flow=abc_g_aig
ex266,ex266_udiv_bdd_perbit_search_best_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_perbit_search_best+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_search_best.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_search_best_wreduce_abc_g_aig.aig,1,1,1,158,14,2212,848,2.608491,0,0,0.228,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_search_best; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_perbit_search_best_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_perbit_search_best+synth_preset,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_search_best.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_search_best_synth_preset.aig,1,1,1,150,13,1950,848,2.299528,0,0,0.296,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_search_best; flow=synth_preset
ex266,ex266_udiv_bdd_perbit_search_best_synth_preset_d8,unsigned low5_high5:a/b dbz=max,bdd_perbit_search_best+synth_preset_d8,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_search_best.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_search_best_synth_preset_d8.aig,1,1,1,150,13,1950,848,2.299528,0,0,0.298,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_search_best; flow=synth_preset_d8
ex266,ex266_udiv_bdd_perbit_search_best_synth_preset_d10,unsigned low5_high5:a/b dbz=max,bdd_perbit_search_best+synth_preset_d10,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_search_best.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_search_best_synth_preset_d10.aig,1,1,1,150,13,1950,848,2.299528,0,0,0.298,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_search_best; flow=synth_preset_d10
ex266,ex266_udiv_bdd_perbit_formula_hi2_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_perbit_formula_hi2+abc_g_aig,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/verilog/ex266_udiv_bdd_perbit_formula_hi2.v,student/work/ex266_frontend_udiv_perbit_bdd_20260609_0850/ex266/aigs/ex266_udiv_bdd_perbit_formula_hi2_abc_g_aig.aig,1,1,1,154,14,2156,848,2.542453,0,0,0.233,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_perbit_formula_hi2; flow=abc_g_aig
