case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_recip_floor_sn_abc_g_aig,unsigned low5_high5:a/b dbz=max,recip_floor_sn+abc_g_aig,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_floor_sn.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_floor_sn_abc_g_aig.aig,1,1,1,251,47,11797,848,13.911557,0,0,0.295,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_floor_sn; flow=abc_g_aig
ex266,ex266_udiv_recip_floor_sn_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,recip_floor_sn+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_floor_sn.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_floor_sn_wreduce_abc_g_aig.aig,1,1,1,253,46,11638,848,13.724057,0,0,0.295,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_floor_sn; flow=wreduce_abc_g_aig
ex266,ex266_udiv_recip_floor_sn_synth_preset,unsigned low5_high5:a/b dbz=max,recip_floor_sn+synth_preset,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_floor_sn.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_floor_sn_synth_preset.aig,1,1,1,235,41,9635,848,11.362028,0,0,0.387,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_floor_sn; flow=synth_preset
ex266,ex266_udiv_recip_floor_snp2_abc_g_aig,unsigned low5_high5:a/b dbz=max,recip_floor_snp2+abc_g_aig,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_floor_snp2.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_floor_snp2_abc_g_aig.aig,1,1,1,341,46,15686,848,18.497642,0,0,0.313,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_floor_snp2; flow=abc_g_aig
ex266,ex266_udiv_recip_floor_snp2_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,recip_floor_snp2+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_floor_snp2.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_floor_snp2_wreduce_abc_g_aig.aig,1,1,1,342,45,15390,848,18.148585,0,0,0.311,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_floor_snp2; flow=wreduce_abc_g_aig
ex266,ex266_udiv_recip_floor_snp2_synth_preset,unsigned low5_high5:a/b dbz=max,recip_floor_snp2+synth_preset,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_floor_snp2.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_floor_snp2_synth_preset.aig,1,1,1,342,46,15732,848,18.551887,0,0,0.389,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_floor_snp2; flow=synth_preset
ex266,ex266_udiv_recip_floor_s2n_abc_g_aig,unsigned low5_high5:a/b dbz=max,recip_floor_s2n+abc_g_aig,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_floor_s2n.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_floor_s2n_abc_g_aig.aig,1,1,1,461,50,23050,848,27.181604,0,0,0.348,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_floor_s2n; flow=abc_g_aig
ex266,ex266_udiv_recip_floor_s2n_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,recip_floor_s2n+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_floor_s2n.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_floor_s2n_wreduce_abc_g_aig.aig,1,1,1,467,52,24284,848,28.636792,0,0,0.343,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_floor_s2n; flow=wreduce_abc_g_aig
ex266,ex266_udiv_recip_floor_s2n_synth_preset,unsigned low5_high5:a/b dbz=max,recip_floor_s2n+synth_preset,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_floor_s2n.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_floor_s2n_synth_preset.aig,1,1,1,459,50,22950,848,27.063679,0,0,0.494,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_floor_s2n; flow=synth_preset
ex266,ex266_udiv_recip_ceil_sn_abc_g_aig,unsigned low5_high5:a/b dbz=max,recip_ceil_sn+abc_g_aig,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_ceil_sn.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_ceil_sn_abc_g_aig.aig,1,1,1,210,40,8400,848,9.905660,0,0,0.302,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_ceil_sn; flow=abc_g_aig
ex266,ex266_udiv_recip_ceil_sn_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,recip_ceil_sn+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/verilog/ex266_udiv_recip_ceil_sn.v,student/work/ex266_frontend_udiv_recip_smoke_20260609_1030/ex266/aigs/ex266_udiv_recip_ceil_sn_wreduce_abc_g_aig.aig,1,1,1,211,40,8440,848,9.952830,0,0,0.280,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=recip_ceil_sn; flow=wreduce_abc_g_aig
