case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_hi2_resid_shift_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_shift+abc_g_aig,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi2_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_abc_g_aig.aig,1,1,1,89,29,2581,848,3.043632,0,0,0.267,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=abc_g_aig
ex266,ex266_udiv_ex266_hi2_resid_shift_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_shift+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi2_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_wreduce_abc_g_aig.aig,1,1,1,89,29,2581,848,3.043632,0,0,0.267,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_hi2_resid_shift_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_shift+synth_preset,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi2_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_synth_preset.aig,1,1,1,88,31,2728,848,3.216981,0,0,0.320,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=synth_preset
ex266,ex266_udiv_ex266_hi2_resid_shift_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_shift+synth_preset_d8,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi2_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_synth_preset_d8.aig,1,1,1,88,31,2728,848,3.216981,0,0,0.317,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=synth_preset_d8
ex266,ex266_udiv_ex266_hi2_resid_shift_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_shift+synth_preset_d10,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi2_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_synth_preset_d10.aig,1,1,1,88,31,2728,848,3.216981,0,0,0.339,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=synth_preset_d10
ex266,ex266_udiv_ex266_hi2_resid_shift_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_shift+synth_preset_d12,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi2_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_synth_preset_d12.aig,1,1,1,88,31,2728,848,3.216981,0,0,0.324,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=synth_preset_d12
ex266,ex266_udiv_ex266_hi2_resid_shift_arith_wreduce_aig,unsigned low5_high5:a/b dbz=max,ex266_hi2_resid_shift+arith_wreduce_aig,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi2_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi2_resid_shift_arith_wreduce_aig.aig,1,1,1,93,30,2790,848,3.290094,0,0,0.259,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi2_resid_shift; flow=arith_wreduce_aig
ex266,ex266_udiv_ex266_hi3_resid_shift_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_shift+abc_g_aig,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi3_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_abc_g_aig.aig,1,1,1,97,26,2522,848,2.974057,0,0,0.298,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=abc_g_aig
ex266,ex266_udiv_ex266_hi3_resid_shift_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_shift+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi3_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_wreduce_abc_g_aig.aig,1,1,1,101,26,2626,848,3.096698,0,0,0.273,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_hi3_resid_shift_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_shift+synth_preset,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi3_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_synth_preset.aig,1,1,1,96,27,2592,848,3.056604,0,0,0.369,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=synth_preset
ex266,ex266_udiv_ex266_hi3_resid_shift_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_shift+synth_preset_d8,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi3_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_synth_preset_d8.aig,1,1,1,96,27,2592,848,3.056604,0,0,0.336,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=synth_preset_d8
ex266,ex266_udiv_ex266_hi3_resid_shift_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_shift+synth_preset_d10,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi3_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_synth_preset_d10.aig,1,1,1,96,27,2592,848,3.056604,0,0,0.339,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=synth_preset_d10
ex266,ex266_udiv_ex266_hi3_resid_shift_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_shift+synth_preset_d12,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi3_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_synth_preset_d12.aig,1,1,1,96,27,2592,848,3.056604,0,0,0.334,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=synth_preset_d12
ex266,ex266_udiv_ex266_hi3_resid_shift_arith_wreduce_aig,unsigned low5_high5:a/b dbz=max,ex266_hi3_resid_shift+arith_wreduce_aig,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/verilog/ex266_udiv_ex266_hi3_resid_shift.v,student/work/ex266_frontend_udiv_resid_shift_20260609_0928/ex266/aigs/ex266_udiv_ex266_hi3_resid_shift_arith_wreduce_aig.aig,1,1,1,104,26,2704,848,3.188679,0,0,0.295,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_hi3_resid_shift; flow=arith_wreduce_aig
