case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_ex266_cof_b4_b1_bitbdd_abc_g_aig,1,170,12,2040,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b1_bitbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b1_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_b4_b1_bitbdd_wreduce_abc_g_aig,1,170,12,2040,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b1_bitbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b1_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_b4_b1_bitbdd_synth_preset,1,165,12,1980,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b1_bitbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b1_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_b4_b1_bitbdd_synth_preset_d8,1,165,12,1980,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b1_bitbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b1_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_b4_b1_bitbdd_synth_preset_d10,1,165,12,1980,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b1_bitbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b1_bitbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_b4_b1_bitbdd_synth_preset_d12,1,165,12,1980,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b1_bitbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b1_bitbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_b4_b2_bitbdd_abc_g_aig,1,158,14,2212,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b2_bitbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b2_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_b4_b2_bitbdd_wreduce_abc_g_aig,1,158,14,2212,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b2_bitbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b2_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_b4_b2_bitbdd_synth_preset,1,148,13,1924,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b2_bitbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b2_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_b4_b2_bitbdd_synth_preset_d8,1,148,13,1924,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b2_bitbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b2_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_b4_b2_bitbdd_synth_preset_d10,1,148,13,1924,student/work/ex266_frontend_udiv_selector_probe_20260609_1118/ex266/aigs/ex266_udiv_ex266_cof_b4_b2_bitbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_b4_b2_bitbdd; flow=synth_preset_d10
