case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_threshold_desc_abc_g_aig,unsigned low5_high5:a/b dbz=max,threshold_desc+abc_g_aig,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_threshold_desc.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_abc_g_aig.aig,1,1,1,585,41,23985,848,28.284198,0,0,0.849,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=abc_g_aig
ex266,ex266_udiv_threshold_desc_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,threshold_desc+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_threshold_desc.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_wreduce_abc_g_aig.aig,1,1,1,719,42,30198,848,35.610849,0,0,0.706,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=wreduce_abc_g_aig
ex266,ex266_udiv_threshold_desc_synth_preset,unsigned low5_high5:a/b dbz=max,threshold_desc+synth_preset,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_threshold_desc.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_synth_preset.aig,1,1,1,616,42,25872,848,30.509434,0,0,0.763,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=synth_preset
ex266,ex266_udiv_threshold_desc_synth_preset_d8,unsigned low5_high5:a/b dbz=max,threshold_desc+synth_preset_d8,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_threshold_desc.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_synth_preset_d8.aig,1,1,1,616,42,25872,848,30.509434,0,0,0.774,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=synth_preset_d8
ex266,ex266_udiv_threshold_desc_synth_preset_d10,unsigned low5_high5:a/b dbz=max,threshold_desc+synth_preset_d10,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_threshold_desc.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_synth_preset_d10.aig,1,1,1,616,42,25872,848,30.509434,0,0,0.778,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=synth_preset_d10
ex266,ex266_udiv_threshold_desc_guarded_abc_g_aig,unsigned low5_high5:a/b dbz=max,threshold_desc_guarded+abc_g_aig,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_threshold_desc_guarded.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_guarded_abc_g_aig.aig,1,1,1,628,41,25748,848,30.363208,0,0,0.856,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex266,ex266_udiv_threshold_desc_guarded_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,threshold_desc_guarded+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_threshold_desc_guarded.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_guarded_wreduce_abc_g_aig.aig,1,1,1,700,41,28700,848,33.844340,0,0,0.670,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=wreduce_abc_g_aig
ex266,ex266_udiv_threshold_desc_guarded_synth_preset,unsigned low5_high5:a/b dbz=max,threshold_desc_guarded+synth_preset,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_threshold_desc_guarded.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_guarded_synth_preset.aig,1,1,1,610,38,23180,848,27.334906,0,0,0.758,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset
ex266,ex266_udiv_threshold_desc_guarded_synth_preset_d8,unsigned low5_high5:a/b dbz=max,threshold_desc_guarded+synth_preset_d8,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_threshold_desc_guarded.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_guarded_synth_preset_d8.aig,1,1,1,610,38,23180,848,27.334906,0,0,0.760,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset_d8
ex266,ex266_udiv_threshold_desc_guarded_synth_preset_d10,unsigned low5_high5:a/b dbz=max,threshold_desc_guarded+synth_preset_d10,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_threshold_desc_guarded.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_guarded_synth_preset_d10.aig,1,1,1,610,38,23180,848,27.334906,0,0,0.756,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset_d10
ex266,ex266_udiv_case_dividend_ranges_abc_g_aig,unsigned low5_high5:a/b dbz=max,case_dividend_ranges+abc_g_aig,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/verilog/ex266_udiv_case_dividend_ranges.v,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_case_dividend_ranges_abc_g_aig.aig,1,1,1,289,14,4046,848,4.771226,0,0,0.491,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=abc_g_aig
