case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex268,ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig,unsigned low7_high7:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+abc_g_aig,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/verilog/ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig.aig,1,1,1,760,19,14440,7446,1.939296,0,0,0.448,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex268,ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,unsigned low7_high7:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/verilog/ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,1,1,1,760,19,14440,7446,1.939296,0,0,0.470,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex268,ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset,unsigned low7_high7:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+synth_preset,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/verilog/ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset.aig,1,1,1,739,17,12563,7446,1.687215,0,0,0.627,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset
ex268,ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig,unsigned low7_high7:a/b dbz=max,cof_bhi3_ahi1_bitbdd_wordmux+abc_g_aig,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/verilog/ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig.aig,1,1,1,789,17,13413,7446,1.801370,0,0,0.463,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex268,ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,unsigned low7_high7:a/b dbz=max,cof_bhi3_ahi1_bitbdd_wordmux+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/verilog/ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,1,1,1,789,17,13413,7446,1.801370,0,0,0.497,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex268,ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,unsigned low7_high7:a/b dbz=max,cof_bhi3_ahi1_bitbdd_wordmux+synth_preset,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/verilog/ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.aig,1,1,1,744,16,11904,7446,1.598711,0,0,0.634,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset
ex269,ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig,unsigned low8_high8:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+abc_g_aig,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/verilog/ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig.aig,1,1,1,1710,20,34200,11760,2.908163,0,0,0.841,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex269,ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/verilog/ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,1,1,1,1710,20,34200,11760,2.908163,0,0,0.895,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex269,ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset,unsigned low8_high8:a/b dbz=max,cof_bhi2_ahi1_bitbdd_wordmux+synth_preset,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/verilog/ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset.aig,1,1,1,1684,21,35364,11760,3.007143,0,0,1.168,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset
ex269,ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig,unsigned low8_high8:a/b dbz=max,cof_bhi3_ahi1_bitbdd_wordmux+abc_g_aig,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/verilog/ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig.aig,1,1,1,1711,20,34220,11760,2.909864,0,0,0.865,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex269,ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,cof_bhi3_ahi1_bitbdd_wordmux+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/verilog/ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux.v,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,1,1,1,1711,20,34220,11760,2.909864,0,0,0.914,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
