case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex268,ex268_udiv_shift_subtract_abc_g_aig,unsigned low7_high7:a/b dbz=max,shift_subtract+abc_g_aig,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_shift_subtract.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_shift_subtract_abc_g_aig.aig,1,1,1,192,59,11328,7446,1.521354,0,0,0.338,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=shift_subtract; flow=abc_g_aig
ex268,ex268_udiv_shift_subtract_wreduce_abc_g_aig,unsigned low7_high7:a/b dbz=max,shift_subtract+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_shift_subtract.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_shift_subtract_wreduce_abc_g_aig.aig,1,1,1,193,59,11387,7446,1.529277,0,0,0.353,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=shift_subtract; flow=wreduce_abc_g_aig
ex268,ex268_udiv_shift_subtract_synth_preset,unsigned low7_high7:a/b dbz=max,shift_subtract+synth_preset,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_shift_subtract.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_shift_subtract_synth_preset.aig,1,1,1,196,67,13132,7446,1.763631,0,0,0.415,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=shift_subtract; flow=synth_preset
ex268,ex268_udiv_shift_subtract_abc_g_aig_d18,unsigned low7_high7:a/b dbz=max,shift_subtract+abc_g_aig_d18,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_shift_subtract.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_shift_subtract_abc_g_aig_d18.aig,1,1,1,192,59,11328,7446,1.521354,0,0,0.343,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=shift_subtract; flow=abc_g_aig_d18
ex268,ex268_udiv_shift_subtract_abc_g_aig_d24,unsigned low7_high7:a/b dbz=max,shift_subtract+abc_g_aig_d24,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_shift_subtract.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_shift_subtract_abc_g_aig_d24.aig,1,1,1,192,59,11328,7446,1.521354,0,0,0.341,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=shift_subtract; flow=abc_g_aig_d24
ex268,ex268_udiv_shift_subtract_gt_guard_abc_g_aig,unsigned low7_high7:a/b dbz=max,shift_subtract_gt_guard+abc_g_aig,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_shift_subtract_gt_guard.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_shift_subtract_gt_guard_abc_g_aig.aig,1,1,1,222,62,13764,7446,1.848509,0,0,0.368,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=abc_g_aig
ex268,ex268_udiv_shift_subtract_gt_guard_wreduce_abc_g_aig,unsigned low7_high7:a/b dbz=max,shift_subtract_gt_guard+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_shift_subtract_gt_guard.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,1,1,1,223,62,13826,7446,1.856836,0,0,0.378,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex268,ex268_udiv_shift_subtract_gt_guard_synth_preset,unsigned low7_high7:a/b dbz=max,shift_subtract_gt_guard+synth_preset,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_shift_subtract_gt_guard.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_shift_subtract_gt_guard_synth_preset.aig,1,1,1,195,62,12090,7446,1.623691,0,0,0.438,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=synth_preset
ex268,ex268_udiv_shift_subtract_gt_guard_abc_g_aig_d18,unsigned low7_high7:a/b dbz=max,shift_subtract_gt_guard+abc_g_aig_d18,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_shift_subtract_gt_guard.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_shift_subtract_gt_guard_abc_g_aig_d18.aig,1,1,1,222,62,13764,7446,1.848509,0,0,0.370,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=abc_g_aig_d18
ex268,ex268_udiv_shift_subtract_gt_guard_abc_g_aig_d24,unsigned low7_high7:a/b dbz=max,shift_subtract_gt_guard+abc_g_aig_d24,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_shift_subtract_gt_guard.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_shift_subtract_gt_guard_abc_g_aig_d24.aig,1,1,1,222,62,13764,7446,1.848509,0,0,0.380,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=abc_g_aig_d24
ex268,ex268_udiv_denom_split_threshold_direct_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_split_threshold_direct+abc_g_aig,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/verilog/ex268_udiv_denom_split_threshold_direct.v,student/work/ex268_ex269_frontend_udiv_split_shift_20260609_0825/ex268/aigs/ex268_udiv_denom_split_threshold_direct_abc_g_aig.aig,1,1,0,,,,7446,,,,0.643,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig
