case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_direct_square_abc_g_aig,unsigned_square_x_times_x,direct_square+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/aigs/ex270_square_direct_square_abc_g_aig.aig,1,1,1,270,33,8910,2076,4.291908,0,0,0.252,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=abc_g_aig
ex270,ex270_square_direct_square_wreduce_abc_g_aig,unsigned_square_x_times_x,direct_square+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/aigs/ex270_square_direct_square_wreduce_abc_g_aig.aig,1,1,1,270,33,8910,2076,4.291908,0,0,0.254,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_abc_g_aig,unsigned_square_x_times_x,wallace_square+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/verilog/ex270_square_wallace_square.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/aigs/ex270_square_wallace_square_abc_g_aig.aig,1,1,1,194,23,4462,2076,2.149326,0,0,0.237,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square; flow=abc_g_aig
ex270,ex270_square_wallace_square_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/verilog/ex270_square_wallace_square.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/aigs/ex270_square_wallace_square_wreduce_abc_g_aig.aig,1,1,1,194,23,4462,2076,2.149326,0,0,0.239,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_hcla4_abc_g_aig,unsigned_square_x_times_x,wallace_square_hcla4+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/verilog/ex270_square_wallace_square_hcla4.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/aigs/ex270_square_wallace_square_hcla4_abc_g_aig.aig,1,0,0,,,,2076,,,,0.017,square_specific_structural_rtl,SynthError: Yosys failed exit=1; see student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/logs/ex270_square_wallace_square_hcla4_abc_g_aig.yosys.log
ex270,ex270_square_wallace_square_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_hcla4+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/verilog/ex270_square_wallace_square_hcla4.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/aigs/ex270_square_wallace_square_hcla4_wreduce_abc_g_aig.aig,1,0,0,,,,2076,,,,0.013,square_specific_structural_rtl,SynthError: Yosys failed exit=1; see student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/logs/ex270_square_wallace_square_hcla4_wreduce_abc_g_aig.yosys.log
ex270,ex270_square_dadda_square_abc_g_aig,unsigned_square_x_times_x,dadda_square+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/verilog/ex270_square_dadda_square.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/aigs/ex270_square_dadda_square_abc_g_aig.aig,1,1,1,197,23,4531,2076,2.182563,0,0,0.234,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square; flow=abc_g_aig
ex270,ex270_square_dadda_square_wreduce_abc_g_aig,unsigned_square_x_times_x,dadda_square+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/verilog/ex270_square_dadda_square.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/aigs/ex270_square_dadda_square_wreduce_abc_g_aig.aig,1,1,1,197,23,4531,2076,2.182563,0,0,0.237,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square; flow=wreduce_abc_g_aig
ex270,ex270_square_low_high_split_abc_g_aig,unsigned_square_x_times_x,low_high_split+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/verilog/ex270_square_low_high_split.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/aigs/ex270_square_low_high_split_abc_g_aig.aig,1,1,1,173,28,4844,2076,2.333333,0,0,0.244,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low_high_split; flow=abc_g_aig
ex270,ex270_square_low_high_split_wreduce_abc_g_aig,unsigned_square_x_times_x,low_high_split+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/verilog/ex270_square_low_high_split.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_smoke/ex270/aigs/ex270_square_low_high_split_wreduce_abc_g_aig.aig,1,1,1,173,28,4844,2076,2.333333,0,0,0.242,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low_high_split; flow=wreduce_abc_g_aig
