case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_direct_square_default,unsigned_square_x_times_x,direct_square+default,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_default.aig,1,1,1,276,33,9108,2076,4.387283,0,0,0.236,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=default
ex270,ex270_square_direct_square_wreduce_default,unsigned_square_x_times_x,direct_square+wreduce_default,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_wreduce_default.aig,1,1,1,276,33,9108,2076,4.387283,0,0,0.238,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=wreduce_default
ex270,ex270_square_direct_square_abc_g_aig,unsigned_square_x_times_x,direct_square+abc_g_aig,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_abc_g_aig.aig,1,1,1,270,33,8910,2076,4.291908,0,0,0.239,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=abc_g_aig
ex270,ex270_square_direct_square_wreduce_abc_g_aig,unsigned_square_x_times_x,direct_square+wreduce_abc_g_aig,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_wreduce_abc_g_aig.aig,1,1,1,270,33,8910,2076,4.291908,0,0,0.240,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=wreduce_abc_g_aig
ex270,ex270_square_direct_square_arith_wreduce_aig,unsigned_square_x_times_x,direct_square+arith_wreduce_aig,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_arith_wreduce_aig.aig,1,1,1,270,33,8910,2076,4.291908,0,0,0.260,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=arith_wreduce_aig
ex270,ex270_square_direct_square_synth_preset,unsigned_square_x_times_x,direct_square+synth_preset,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_synth_preset.aig,1,1,1,252,33,8316,2076,4.005780,0,0,0.302,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=synth_preset
ex270,ex270_square_direct_square_synth_preset_d16,unsigned_square_x_times_x,direct_square+synth_preset_d16,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_synth_preset_d16.aig,1,1,1,252,33,8316,2076,4.005780,0,0,0.301,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=synth_preset_d16
ex270,ex270_square_direct_square_synth_preset_d20,unsigned_square_x_times_x,direct_square+synth_preset_d20,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_synth_preset_d20.aig,1,1,1,252,33,8316,2076,4.005780,0,0,0.303,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=synth_preset_d20
ex270,ex270_square_direct_square_synth_preset_d24,unsigned_square_x_times_x,direct_square+synth_preset_d24,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_synth_preset_d24.aig,1,1,1,252,33,8316,2076,4.005780,0,0,0.312,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=synth_preset_d24
ex270,ex270_square_direct_square_wide_default,unsigned_square_x_times_x,direct_square_wide+default,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square_wide.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_wide_default.aig,1,1,1,312,36,11232,2076,5.410405,0,0,0.258,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square_wide; flow=default
ex270,ex270_square_direct_square_wide_wreduce_default,unsigned_square_x_times_x,direct_square_wide+wreduce_default,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square_wide.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_wide_wreduce_default.aig,1,1,1,276,33,9108,2076,4.387283,0,0,0.241,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square_wide; flow=wreduce_default
