case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_rangetop2_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_rangetop2_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop2_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop2_trunc_abc_g_aig.aig,1,1,1,739,37,27343,15078,1.813437,0,0,0.797,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop2_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_rangetop2_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_rangetop2_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop2_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop2_trunc_wreduce_abc_g_aig.aig,1,1,1,737,36,26532,15078,1.759650,0,0,0.827,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop2_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_rangetop2_trunc_synth_preset,unsigned_square_x_times_x,hybrid_rangetop2_trunc+synth_preset,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop2_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop2_trunc_synth_preset.aig,1,1,1,737,36,26532,15078,1.759650,0,0,1.004,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop2_trunc; flow=synth_preset
ex273,ex273_square_hybrid_rangetop2_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_rangetop2_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop2_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop2_trunc_synth_preset_d20.aig,1,1,1,737,36,26532,15078,1.759650,0,0,0.989,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop2_trunc; flow=synth_preset_d20
ex273,ex273_square_hybrid_rangetop3_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_rangetop3_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop3_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop3_trunc_abc_g_aig.aig,1,1,1,767,35,26845,15078,1.780409,0,0,0.845,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop3_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_rangetop3_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_rangetop3_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop3_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop3_trunc_wreduce_abc_g_aig.aig,1,1,1,767,35,26845,15078,1.780409,0,0,0.865,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop3_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_rangetop3_trunc_synth_preset,unsigned_square_x_times_x,hybrid_rangetop3_trunc+synth_preset,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop3_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop3_trunc_synth_preset.aig,1,1,1,762,35,26670,15078,1.768802,0,0,1.087,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop3_trunc; flow=synth_preset
ex273,ex273_square_hybrid_rangetop3_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_rangetop3_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop3_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop3_trunc_synth_preset_d20.aig,1,1,1,762,35,26670,15078,1.768802,0,0,1.062,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop3_trunc; flow=synth_preset_d20
ex273,ex273_square_hybrid_rangetop4_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_rangetop4_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop4_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop4_trunc_abc_g_aig.aig,1,1,1,806,35,28210,15078,1.870938,0,0,0.938,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop4_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_rangetop4_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_rangetop4_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop4_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop4_trunc_wreduce_abc_g_aig.aig,1,1,1,808,33,26664,15078,1.768404,0,0,0.923,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop4_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_rangetop4_trunc_synth_preset,unsigned_square_x_times_x,hybrid_rangetop4_trunc+synth_preset,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/verilog/ex273_square_hybrid_rangetop4_trunc.v,student/work/ex273_ex274_frontend_square_rangetop_20260609_1345/ex273/aigs/ex273_square_hybrid_rangetop4_trunc_synth_preset.aig,1,1,1,810,34,27540,15078,1.826502,0,0,1.072,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop4_trunc; flow=synth_preset
