case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_low4_case_constmul_abc_g_aig,unsigned_square_x_times_x,low4_case_constmul+abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/verilog/ex273_square_low4_case_constmul.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/aigs/ex273_square_low4_case_constmul_abc_g_aig.aig,1,1,1,2641,58,153178,15078,10.159040,0,0,2.086,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low4_case_constmul; flow=abc_g_aig
ex273,ex273_square_low4_case_constmul_wreduce_abc_g_aig,unsigned_square_x_times_x,low4_case_constmul+wreduce_abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/verilog/ex273_square_low4_case_constmul.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/aigs/ex273_square_low4_case_constmul_wreduce_abc_g_aig.aig,1,1,1,2641,58,153178,15078,10.159040,0,0,2.139,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low4_case_constmul; flow=wreduce_abc_g_aig
ex273,ex273_square_low5_case_constmul_abc_g_aig,unsigned_square_x_times_x,low5_case_constmul+abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/verilog/ex273_square_low5_case_constmul.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/aigs/ex273_square_low5_case_constmul_abc_g_aig.aig,1,1,1,4151,47,195097,15078,12.939183,0,0,4.488,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low5_case_constmul; flow=abc_g_aig
ex273,ex273_square_low5_case_constmul_wreduce_abc_g_aig,unsigned_square_x_times_x,low5_case_constmul+wreduce_abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/verilog/ex273_square_low5_case_constmul.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/aigs/ex273_square_low5_case_constmul_wreduce_abc_g_aig.aig,1,1,1,4127,47,193969,15078,12.864372,0,0,4.359,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low5_case_constmul; flow=wreduce_abc_g_aig
ex273,ex273_square_low4_case_high_direct_abc_g_aig,unsigned_square_x_times_x,low4_case_high_direct+abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/verilog/ex273_square_low4_case_high_direct.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/aigs/ex273_square_low4_case_high_direct_abc_g_aig.aig,1,1,1,910,46,41860,15078,2.776230,0,0,0.810,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low4_case_high_direct; flow=abc_g_aig
ex273,ex273_square_low4_case_high_direct_wreduce_abc_g_aig,unsigned_square_x_times_x,low4_case_high_direct+wreduce_abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/verilog/ex273_square_low4_case_high_direct.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/aigs/ex273_square_low4_case_high_direct_wreduce_abc_g_aig.aig,1,1,1,918,46,42228,15078,2.800637,0,0,0.806,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low4_case_high_direct; flow=wreduce_abc_g_aig
ex273,ex273_square_low5_case_high_direct_abc_g_aig,unsigned_square_x_times_x,low5_case_high_direct+abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/verilog/ex273_square_low5_case_high_direct.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/aigs/ex273_square_low5_case_high_direct_abc_g_aig.aig,1,1,1,802,47,37694,15078,2.499934,0,0,0.772,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low5_case_high_direct; flow=abc_g_aig
ex273,ex273_square_low5_case_high_direct_wreduce_abc_g_aig,unsigned_square_x_times_x,low5_case_high_direct+wreduce_abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/verilog/ex273_square_low5_case_high_direct.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex273/aigs/ex273_square_low5_case_high_direct_wreduce_abc_g_aig.aig,1,1,1,800,47,37600,15078,2.493699,0,0,0.775,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=low5_case_high_direct; flow=wreduce_abc_g_aig
ex274,ex274_square_low4_case_constmul_abc_g_aig,unsigned_square_x_times_x,low4_case_constmul+abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex274/verilog/ex274_square_low4_case_constmul.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex274/aigs/ex274_square_low4_case_constmul_abc_g_aig.aig,1,1,1,3234,56,181104,21630,8.372816,0,0,5.447,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=low4_case_constmul; flow=abc_g_aig
ex274,ex274_square_low4_case_constmul_wreduce_abc_g_aig,unsigned_square_x_times_x,low4_case_constmul+wreduce_abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex274/verilog/ex274_square_low4_case_constmul.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex274/aigs/ex274_square_low4_case_constmul_wreduce_abc_g_aig.aig,1,1,1,3231,56,180936,21630,8.365049,0,0,5.493,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=low4_case_constmul; flow=wreduce_abc_g_aig
ex274,ex274_square_low5_case_constmul_abc_g_aig,unsigned_square_x_times_x,low5_case_constmul+abc_g_aig,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex274/verilog/ex274_square_low5_case_constmul.v,student/work/ex273_ex274_square_constcofactor_small_20260609_1138/ex274/aigs/ex274_square_low5_case_constmul_abc_g_aig.aig,1,1,1,5404,59,318836,21630,14.740453,0,0,8.406,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=low5_case_constmul; flow=abc_g_aig
