case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_hybrid_bddtop2_trunc_csel2_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel2+abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel2.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel2_abc_g_aig.aig,1,1,1,972,47,45684,21630,2.112067,0,0,3.554,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel2; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel2_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel2+wreduce_abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel2.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel2_wreduce_abc_g_aig.aig,1,1,1,970,49,47530,21630,2.197411,0,0,3.601,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel2; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel2_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel2+synth_preset,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel2.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel2_synth_preset.aig,1,1,1,966,50,48300,21630,2.233010,0,0,3.764,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel2; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_trunc_csel2_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel2+synth_preset_d20,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel2.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel2_synth_preset_d20.aig,1,1,1,966,50,48300,21630,2.233010,0,0,3.719,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel2; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop2_trunc_csel3_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel3+abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel3.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel3_abc_g_aig.aig,1,1,1,987,44,43428,21630,2.007767,0,0,3.498,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel3; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel3_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel3+wreduce_abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel3.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel3_wreduce_abc_g_aig.aig,1,1,1,987,44,43428,21630,2.007767,0,0,3.556,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel3; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel3_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel3+synth_preset,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel3.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel3_synth_preset.aig,1,1,1,984,44,43296,21630,2.001664,0,0,3.745,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel3; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_trunc_csel3_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel3+synth_preset_d20,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel3.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel3_synth_preset_d20.aig,1,1,1,984,44,43296,21630,2.001664,0,0,3.732,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel3; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop2_trunc_csel4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel4+abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel4.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel4_abc_g_aig.aig,1,1,1,985,45,44325,21630,2.049237,0,0,3.588,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel4; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel4+wreduce_abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel4.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel4_wreduce_abc_g_aig.aig,1,1,1,984,45,44280,21630,2.047157,0,0,3.664,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel4; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel4+synth_preset,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel4.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel4_synth_preset.aig,1,1,1,980,45,44100,21630,2.038835,0,0,3.803,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel4; flow=synth_preset
