case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_bit_interval_or_abc_g_aig,unsigned_floor_isqrt,bit_interval_or+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bit_interval_or.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bit_interval_or_abc_g_aig.aig,1,1,1,54,8,432,204,2.117647,0,0,0.296,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bit_interval_or; flow=abc_g_aig
ex275,ex275_isqrt_bit_interval_or_wreduce_abc_g_aig,unsigned_floor_isqrt,bit_interval_or+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bit_interval_or.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bit_interval_or_wreduce_abc_g_aig.aig,1,1,1,54,8,432,204,2.117647,0,0,0.308,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bit_interval_or; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bit_interval_or_arith_wreduce_aig,unsigned_floor_isqrt,bit_interval_or+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bit_interval_or.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bit_interval_or_arith_wreduce_aig.aig,1,1,1,54,9,486,204,2.382353,0,0,0.309,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bit_interval_or; flow=arith_wreduce_aig
ex275,ex275_isqrt_bit_interval_or_synth_preset,unsigned_floor_isqrt,bit_interval_or+synth_preset,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bit_interval_or.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bit_interval_or_synth_preset.aig,1,1,1,53,10,530,204,2.598039,0,0,0.333,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bit_interval_or; flow=synth_preset
ex275,ex275_isqrt_bit_interval_or_synth_preset_d6,unsigned_floor_isqrt,bit_interval_or+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bit_interval_or.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bit_interval_or_synth_preset_d6.aig,1,1,1,53,10,530,204,2.598039,0,0,0.338,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bit_interval_or; flow=synth_preset_d6
ex275,ex275_isqrt_bit_interval_or_synth_preset_d8,unsigned_floor_isqrt,bit_interval_or+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bit_interval_or.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bit_interval_or_synth_preset_d8.aig,1,1,1,53,10,530,204,2.598039,0,0,0.419,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bit_interval_or; flow=synth_preset_d8
ex275,ex275_isqrt_bit_interval_or_synth_preset_d10,unsigned_floor_isqrt,bit_interval_or+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bit_interval_or.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bit_interval_or_synth_preset_d10.aig,1,1,1,53,10,530,204,2.598039,0,0,0.401,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bit_interval_or; flow=synth_preset_d10
ex275,ex275_isqrt_bit_interval_or_abc_g_aig_d6,unsigned_floor_isqrt,bit_interval_or+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bit_interval_or.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bit_interval_or_abc_g_aig_d6.aig,1,1,1,54,8,432,204,2.117647,0,0,0.289,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bit_interval_or; flow=abc_g_aig_d6
ex275,ex275_isqrt_bit_interval_or_abc_g_aig_d8,unsigned_floor_isqrt,bit_interval_or+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bit_interval_or.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bit_interval_or_abc_g_aig_d8.aig,1,1,1,54,8,432,204,2.117647,0,0,0.310,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bit_interval_or; flow=abc_g_aig_d8
ex275,ex275_isqrt_bit_interval_or_abc_g_aig_d10,unsigned_floor_isqrt,bit_interval_or+abc_g_aig_d10,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_bit_interval_or.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_bit_interval_or_abc_g_aig_d10.aig,1,1,1,54,8,432,204,2.117647,0,0,0.284,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bit_interval_or; flow=abc_g_aig_d10
ex275,ex275_isqrt_threshold_xor_abc_g_aig,unsigned_floor_isqrt,threshold_xor+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.259,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=abc_g_aig
ex275,ex275_isqrt_threshold_xor_wreduce_abc_g_aig,unsigned_floor_isqrt,threshold_xor+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_bitinterval_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.253,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=wreduce_abc_g_aig
