case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_supporthi1_p4ge_abc_g_aig,unsigned_floor_isqrt,supporthi1_p4ge+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi1_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi1_p4ge_abc_g_aig.aig,1,1,1,49,7,343,204,1.681373,0,0,0.254,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi1_p4ge; flow=abc_g_aig
ex275,ex275_isqrt_supporthi1_p4ge_wreduce_abc_g_aig,unsigned_floor_isqrt,supporthi1_p4ge+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi1_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi1_p4ge_wreduce_abc_g_aig.aig,1,1,1,49,7,343,204,1.681373,0,0,0.262,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi1_p4ge; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_supporthi1_p4ge_arith_wreduce_aig,unsigned_floor_isqrt,supporthi1_p4ge+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi1_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi1_p4ge_arith_wreduce_aig.aig,1,1,1,45,9,405,204,1.985294,0,0,0.271,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi1_p4ge; flow=arith_wreduce_aig
ex275,ex275_isqrt_supporthi1_p4ge_synth_preset,unsigned_floor_isqrt,supporthi1_p4ge+synth_preset,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi1_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi1_p4ge_synth_preset.aig,1,1,1,49,7,343,204,1.681373,0,0,0.327,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi1_p4ge; flow=synth_preset
ex275,ex275_isqrt_supporthi1_p4ge_synth_preset_d6,unsigned_floor_isqrt,supporthi1_p4ge+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi1_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi1_p4ge_synth_preset_d6.aig,1,1,1,49,7,343,204,1.681373,0,0,0.301,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi1_p4ge; flow=synth_preset_d6
ex275,ex275_isqrt_supporthi1_p4ge_synth_preset_d8,unsigned_floor_isqrt,supporthi1_p4ge+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi1_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi1_p4ge_synth_preset_d8.aig,1,1,1,49,7,343,204,1.681373,0,0,0.295,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi1_p4ge; flow=synth_preset_d8
ex275,ex275_isqrt_supporthi1_p4ge_synth_preset_d10,unsigned_floor_isqrt,supporthi1_p4ge+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi1_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi1_p4ge_synth_preset_d10.aig,1,1,1,49,7,343,204,1.681373,0,0,0.288,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi1_p4ge; flow=synth_preset_d10
ex275,ex275_isqrt_supporthi2_p4ge_abc_g_aig,unsigned_floor_isqrt,supporthi2_p4ge+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi2_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi2_p4ge_abc_g_aig.aig,1,1,1,49,7,343,204,1.681373,0,0,0.232,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi2_p4ge; flow=abc_g_aig
ex275,ex275_isqrt_supporthi2_p4ge_wreduce_abc_g_aig,unsigned_floor_isqrt,supporthi2_p4ge+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi2_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi2_p4ge_wreduce_abc_g_aig.aig,1,1,1,49,7,343,204,1.681373,0,0,0.295,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi2_p4ge; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_supporthi2_p4ge_arith_wreduce_aig,unsigned_floor_isqrt,supporthi2_p4ge+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi2_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi2_p4ge_arith_wreduce_aig.aig,1,1,1,49,7,343,204,1.681373,0,0,0.234,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi2_p4ge; flow=arith_wreduce_aig
ex275,ex275_isqrt_supporthi2_p4ge_synth_preset,unsigned_floor_isqrt,supporthi2_p4ge+synth_preset,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi2_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi2_p4ge_synth_preset.aig,1,1,1,47,9,423,204,2.073529,0,0,0.264,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi2_p4ge; flow=synth_preset
