case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_threshold_popcount_abc_g_aig,unsigned_floor_isqrt,threshold_popcount+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_popcount_abc_g_aig.aig,1,1,1,50,10,500,204,2.450980,0,0,0.281,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_popcount; flow=abc_g_aig
ex275,ex275_isqrt_threshold_popcount_wreduce_abc_g_aig,unsigned_floor_isqrt,threshold_popcount+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_popcount_wreduce_abc_g_aig.aig,1,1,1,54,8,432,204,2.117647,0,0,0.298,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_popcount; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_threshold_popcount_arith_wreduce_aig,unsigned_floor_isqrt,threshold_popcount+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_popcount_arith_wreduce_aig.aig,1,1,1,64,13,832,204,4.078431,0,0,0.259,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_popcount; flow=arith_wreduce_aig
ex275,ex275_isqrt_threshold_popcount_synth_preset,unsigned_floor_isqrt,threshold_popcount+synth_preset,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_popcount_synth_preset.aig,1,1,1,57,14,798,204,3.911765,0,0,0.319,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_popcount; flow=synth_preset
ex275,ex275_isqrt_threshold_popcount_synth_preset_d6,unsigned_floor_isqrt,threshold_popcount+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_popcount_synth_preset_d6.aig,1,1,1,57,14,798,204,3.911765,0,0,0.323,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_popcount; flow=synth_preset_d6
ex275,ex275_isqrt_threshold_popcount_synth_preset_d8,unsigned_floor_isqrt,threshold_popcount+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_popcount_synth_preset_d8.aig,1,1,1,57,14,798,204,3.911765,0,0,0.319,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_popcount; flow=synth_preset_d8
ex275,ex275_isqrt_threshold_popcount_synth_preset_d10,unsigned_floor_isqrt,threshold_popcount+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_popcount_synth_preset_d10.aig,1,1,1,57,14,798,204,3.911765,0,0,0.324,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_popcount; flow=synth_preset_d10
ex275,ex275_isqrt_threshold_xor_abc_g_aig,unsigned_floor_isqrt,threshold_xor+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_xor_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.246,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=abc_g_aig
ex275,ex275_isqrt_threshold_xor_wreduce_abc_g_aig,unsigned_floor_isqrt,threshold_xor+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_xor_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.244,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_threshold_xor_arith_wreduce_aig,unsigned_floor_isqrt,threshold_xor+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_xor_arith_wreduce_aig.aig,1,1,1,54,9,486,204,2.382353,0,0,0.281,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=arith_wreduce_aig
ex275,ex275_isqrt_threshold_xor_synth_preset,unsigned_floor_isqrt,threshold_xor+synth_preset,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex275/aigs/ex275_isqrt_threshold_xor_synth_preset.aig,1,1,1,48,10,480,204,2.352941,0,0,0.289,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=synth_preset
