case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix3_delta_abc_g_aig,unsigned_floor_isqrt,prefix3_delta+abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_delta_abc_g_aig.aig,1,1,1,48,8,384,204,1.882353,0,0,0.255,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_delta; flow=abc_g_aig
ex275,ex275_isqrt_prefix3_delta_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix3_delta+wreduce_abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_delta_wreduce_abc_g_aig.aig,1,1,1,48,8,384,204,1.882353,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_delta; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix3_delta_arith_wreduce_aig,unsigned_floor_isqrt,prefix3_delta+arith_wreduce_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_delta_arith_wreduce_aig.aig,1,1,1,47,8,376,204,1.843137,0,0,0.259,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_delta; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix3_delta_synth_preset,unsigned_floor_isqrt,prefix3_delta+synth_preset,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_delta_synth_preset.aig,1,1,1,47,8,376,204,1.843137,0,0,0.328,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_delta; flow=synth_preset
ex275,ex275_isqrt_prefix3_delta_synth_preset_d8,unsigned_floor_isqrt,prefix3_delta+synth_preset_d8,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_delta_synth_preset_d8.aig,1,1,1,47,8,376,204,1.843137,0,0,0.309,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_delta; flow=synth_preset_d8
ex275,ex275_isqrt_prefix3_delta_synth_preset_d10,unsigned_floor_isqrt,prefix3_delta+synth_preset_d10,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_delta_synth_preset_d10.aig,1,1,1,47,8,376,204,1.843137,0,0,0.307,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_delta; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_delta_abc_g_aig,unsigned_floor_isqrt,prefix4_delta+abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_delta_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.236,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_delta; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_delta_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_delta+wreduce_abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_delta_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.251,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_delta; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_delta_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_delta+arith_wreduce_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_delta_arith_wreduce_aig.aig,1,1,1,48,8,384,204,1.882353,0,0,0.281,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_delta; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix4_delta_synth_preset,unsigned_floor_isqrt,prefix4_delta+synth_preset,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_delta_synth_preset.aig,1,1,1,51,7,357,204,1.750000,0,0,0.288,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_delta; flow=synth_preset
ex275,ex275_isqrt_prefix4_delta_synth_preset_d8,unsigned_floor_isqrt,prefix4_delta+synth_preset_d8,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_delta_synth_preset_d8.aig,1,1,1,51,7,357,204,1.750000,0,0,0.288,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_delta; flow=synth_preset_d8
