case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_direct_loop_abc_g_aig,unsigned_floor_isqrt,direct_loop+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_direct_loop.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_direct_loop_abc_g_aig.aig,1,1,1,42,15,630,204,3.088235,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=direct_loop; flow=abc_g_aig
ex275,ex275_isqrt_direct_loop_wreduce_abc_g_aig,unsigned_floor_isqrt,direct_loop+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_direct_loop.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_direct_loop_wreduce_abc_g_aig.aig,1,1,1,43,14,602,204,2.950980,0,0,0.224,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=direct_loop; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_direct_loop_synth_preset,unsigned_floor_isqrt,direct_loop+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_direct_loop.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_direct_loop_synth_preset.aig,1,1,1,38,12,456,204,2.235294,0,0,0.284,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=direct_loop; flow=synth_preset
ex275,ex275_isqrt_threshold_chain_abc_g_aig,unsigned_floor_isqrt,threshold_chain+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_threshold_chain.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_threshold_chain_abc_g_aig.aig,1,1,1,50,11,550,204,2.696078,0,0,0.261,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_chain; flow=abc_g_aig
ex275,ex275_isqrt_threshold_chain_wreduce_abc_g_aig,unsigned_floor_isqrt,threshold_chain+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_threshold_chain.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_threshold_chain_wreduce_abc_g_aig.aig,1,1,1,50,10,500,204,2.450980,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_chain; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_threshold_chain_synth_preset,unsigned_floor_isqrt,threshold_chain+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_threshold_chain.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_threshold_chain_synth_preset.aig,1,1,1,47,11,517,204,2.534314,0,0,0.337,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_chain; flow=synth_preset
ex275,ex275_isqrt_threshold_xor_abc_g_aig,unsigned_floor_isqrt,threshold_xor+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.234,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=abc_g_aig
ex275,ex275_isqrt_threshold_xor_wreduce_abc_g_aig,unsigned_floor_isqrt,threshold_xor+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.237,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_threshold_xor_synth_preset,unsigned_floor_isqrt,threshold_xor+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_threshold_xor.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_threshold_xor_synth_preset.aig,1,1,1,48,10,480,204,2.352941,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=threshold_xor; flow=synth_preset
ex275,ex275_isqrt_range_tree_abc_g_aig,unsigned_floor_isqrt,range_tree+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_range_tree.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_range_tree_abc_g_aig.aig,1,1,1,55,9,495,204,2.426471,0,0,0.249,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=range_tree; flow=abc_g_aig
ex275,ex275_isqrt_range_tree_wreduce_abc_g_aig,unsigned_floor_isqrt,range_tree+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_range_tree.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_range_tree_wreduce_abc_g_aig.aig,1,1,1,55,9,495,204,2.426471,0,0,0.257,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=range_tree; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_range_tree_synth_preset,unsigned_floor_isqrt,range_tree+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_range_tree.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_range_tree_synth_preset.aig,1,1,1,48,10,480,204,2.352941,0,0,0.322,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=range_tree; flow=synth_preset
ex275,ex275_isqrt_restoring_proc_abc_g_aig,unsigned_floor_isqrt,restoring_proc+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_restoring_proc.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_restoring_proc_abc_g_aig.aig,1,1,1,49,16,784,204,3.843137,0,0,0.239,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=restoring_proc; flow=abc_g_aig
ex275,ex275_isqrt_restoring_proc_wreduce_abc_g_aig,unsigned_floor_isqrt,restoring_proc+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_restoring_proc.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_restoring_proc_wreduce_abc_g_aig.aig,1,1,1,49,16,784,204,3.843137,0,0,0.257,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=restoring_proc; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_restoring_proc_synth_preset,unsigned_floor_isqrt,restoring_proc+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_restoring_proc.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_restoring_proc_synth_preset.aig,1,1,1,49,16,784,204,3.843137,0,0,0.308,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=restoring_proc; flow=synth_preset
ex275,ex275_isqrt_restoring_wires_abc_g_aig,unsigned_floor_isqrt,restoring_wires+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_restoring_wires.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_restoring_wires_abc_g_aig.aig,1,1,1,49,16,784,204,3.843137,0,0,0.239,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=restoring_wires; flow=abc_g_aig
