case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_low2_cofbdd5_anfhi_abc_g_aig,unsigned_floor_isqrt,low2_cofbdd5_anfhi+abc_g_aig,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd5_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd5_anfhi_abc_g_aig.aig,1,1,1,123,10,1230,632,1.946203,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd5_anfhi; flow=abc_g_aig
ex276,ex276_isqrt_low2_cofbdd5_anfhi_wreduce_abc_g_aig,unsigned_floor_isqrt,low2_cofbdd5_anfhi+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd5_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd5_anfhi_wreduce_abc_g_aig.aig,1,1,1,154,10,1540,632,2.436709,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd5_anfhi; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_low2_cofbdd5_anfhi_arith_wreduce_aig,unsigned_floor_isqrt,low2_cofbdd5_anfhi+arith_wreduce_aig,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd5_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd5_anfhi_arith_wreduce_aig.aig,1,1,1,154,10,1540,632,2.436709,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd5_anfhi; flow=arith_wreduce_aig
ex276,ex276_isqrt_low2_cofbdd5_anfhi_synth_preset,unsigned_floor_isqrt,low2_cofbdd5_anfhi+synth_preset,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd5_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd5_anfhi_synth_preset.aig,1,1,1,167,11,1837,632,2.906646,0,0,0.336,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd5_anfhi; flow=synth_preset
ex276,ex276_isqrt_low2_cofbdd5_anfhi_synth_preset_d6,unsigned_floor_isqrt,low2_cofbdd5_anfhi+synth_preset_d6,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd5_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd5_anfhi_synth_preset_d6.aig,1,1,1,167,11,1837,632,2.906646,0,0,0.345,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd5_anfhi; flow=synth_preset_d6
ex276,ex276_isqrt_low2_cofbdd5_anfhi_synth_preset_d8,unsigned_floor_isqrt,low2_cofbdd5_anfhi+synth_preset_d8,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd5_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd5_anfhi_synth_preset_d8.aig,1,1,1,167,11,1837,632,2.906646,0,0,0.337,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd5_anfhi; flow=synth_preset_d8
ex276,ex276_isqrt_low2_cofbdd5_anfhi_synth_preset_d10,unsigned_floor_isqrt,low2_cofbdd5_anfhi+synth_preset_d10,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd5_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd5_anfhi_synth_preset_d10.aig,1,1,1,167,11,1837,632,2.906646,0,0,0.336,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd5_anfhi; flow=synth_preset_d10
ex276,ex276_isqrt_low2_cofbdd6_anfhi_abc_g_aig,unsigned_floor_isqrt,low2_cofbdd6_anfhi+abc_g_aig,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd6_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd6_anfhi_abc_g_aig.aig,1,1,1,132,10,1320,632,2.088608,0,0,0.271,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd6_anfhi; flow=abc_g_aig
ex276,ex276_isqrt_low2_cofbdd6_anfhi_wreduce_abc_g_aig,unsigned_floor_isqrt,low2_cofbdd6_anfhi+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd6_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd6_anfhi_wreduce_abc_g_aig.aig,1,1,1,134,10,1340,632,2.120253,0,0,0.275,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd6_anfhi; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_low2_cofbdd6_anfhi_arith_wreduce_aig,unsigned_floor_isqrt,low2_cofbdd6_anfhi+arith_wreduce_aig,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd6_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd6_anfhi_arith_wreduce_aig.aig,1,1,1,134,10,1340,632,2.120253,0,0,0.276,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd6_anfhi; flow=arith_wreduce_aig
ex276,ex276_isqrt_low2_cofbdd6_anfhi_synth_preset,unsigned_floor_isqrt,low2_cofbdd6_anfhi+synth_preset,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd6_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd6_anfhi_synth_preset.aig,1,1,1,164,13,2132,632,3.373418,0,0,0.349,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd6_anfhi; flow=synth_preset
ex276,ex276_isqrt_low2_cofbdd6_anfhi_synth_preset_d6,unsigned_floor_isqrt,low2_cofbdd6_anfhi+synth_preset_d6,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd6_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd6_anfhi_synth_preset_d6.aig,1,1,1,164,13,2132,632,3.373418,0,0,0.348,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd6_anfhi; flow=synth_preset_d6
ex276,ex276_isqrt_low2_cofbdd6_anfhi_synth_preset_d8,unsigned_floor_isqrt,low2_cofbdd6_anfhi+synth_preset_d8,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd6_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd6_anfhi_synth_preset_d8.aig,1,1,1,164,13,2132,632,3.373418,0,0,0.345,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd6_anfhi; flow=synth_preset_d8
ex276,ex276_isqrt_low2_cofbdd6_anfhi_synth_preset_d10,unsigned_floor_isqrt,low2_cofbdd6_anfhi+synth_preset_d10,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low2_cofbdd6_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low2_cofbdd6_anfhi_synth_preset_d10.aig,1,1,1,164,13,2132,632,3.373418,0,0,0.349,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low2_cofbdd6_anfhi; flow=synth_preset_d10
ex276,ex276_isqrt_low3_cofbdd5_anfhi_abc_g_aig,unsigned_floor_isqrt,low3_cofbdd5_anfhi+abc_g_aig,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low3_cofbdd5_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low3_cofbdd5_anfhi_abc_g_aig.aig,1,1,1,130,10,1300,632,2.056962,0,0,0.254,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low3_cofbdd5_anfhi; flow=abc_g_aig
ex276,ex276_isqrt_low3_cofbdd5_anfhi_wreduce_abc_g_aig,unsigned_floor_isqrt,low3_cofbdd5_anfhi+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/verilog/ex276_isqrt_low3_cofbdd5_anfhi.v,student/work/ex276_frontend_isqrt_lowbits_cofbdd_anfhi_20260609_1656/ex276/aigs/ex276_isqrt_low3_cofbdd5_anfhi_wreduce_abc_g_aig.aig,1,1,1,130,12,1560,632,2.468354,0,0,0.278,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=low3_cofbdd5_anfhi; flow=wreduce_abc_g_aig
