case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex280,ex280_prefix_parity_reduce_top6_abc_d20,unknown_key_cofactor_bdd,abc_d20,student/work/ex280_ex284_frontend_bdd_key_cofactor_top6_20260608_1814/ex280/verilog/ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top6.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_synthflow_20260608_1816/ex280/aigs/ex280_prefix_parity_reduce_top6_abc_d20.aig,1,1,1,752,26,19552,2415,8.096066,0,0,1.061,Yosys abc delay target 20,synthflow_exact,Yosys abc delay target 20
ex280,ex280_prefix_parity_reduce_top6_abc_d24,unknown_key_cofactor_bdd,abc_d24,student/work/ex280_ex284_frontend_bdd_key_cofactor_top6_20260608_1814/ex280/verilog/ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top6.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_synthflow_20260608_1816/ex280/aigs/ex280_prefix_parity_reduce_top6_abc_d24.aig,1,1,1,752,26,19552,2415,8.096066,0,0,1.038,Yosys abc delay target 24,synthflow_exact,Yosys abc delay target 24
ex280,ex280_prefix_parity_reduce_top6_abc_g_aig,unknown_key_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_bdd_key_cofactor_top6_20260608_1814/ex280/verilog/ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top6.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_synthflow_20260608_1816/ex280/aigs/ex280_prefix_parity_reduce_top6_abc_g_aig.aig,1,1,1,731,25,18275,2415,7.567288,0,0,1.034,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top6_extra_opt_share,unknown_key_cofactor_bdd,extra_opt_share,student/work/ex280_ex284_frontend_bdd_key_cofactor_top6_20260608_1814/ex280/verilog/ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top6.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_synthflow_20260608_1816/ex280/aigs/ex280_prefix_parity_reduce_top6_extra_opt_share.aig,1,1,1,752,26,19552,2415,8.096066,0,0,1.098,extra opt_reduce/opt_muxtree/wreduce/share before techmap,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex280,ex280_prefix_parity_reduce_top6_synth_preset,unknown_key_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_bdd_key_cofactor_top6_20260608_1814/ex280/verilog/ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top6.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_synthflow_20260608_1816/ex280/aigs/ex280_prefix_parity_reduce_top6_synth_preset.aig,1,1,1,763,26,19838,2415,8.214493,0,0,1.356,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex280,ex280_prefix_parity_reduce_top6_abc_g_aig_d20,unknown_key_cofactor_bdd,abc_g_aig_d20,student/work/ex280_ex284_frontend_bdd_key_cofactor_top6_20260608_1814/ex280/verilog/ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top6.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_synthflow_20260608_1816/ex280/aigs/ex280_prefix_parity_reduce_top6_abc_g_aig_d20.aig,1,1,1,731,25,18275,2415,7.567288,0,0,1.035,Yosys abc gate set aig delay target 20,synthflow_exact,Yosys abc gate set aig delay target 20
ex281,ex281_prefix_parity_reduce_top6_abc_d20,unknown_key_cofactor_bdd,abc_d20,student/work/ex280_ex284_frontend_bdd_key_cofactor_top6_20260608_1814/ex281/verilog/ex281_unknown_key_cofactor_bdd_prefix_parity_reduce_top6.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_synthflow_20260608_1816/ex281/aigs/ex281_prefix_parity_reduce_top6_abc_d20.aig,1,1,1,901,26,23426,2336,10.028253,0,0,1.536,Yosys abc delay target 20,synthflow_exact,Yosys abc delay target 20
ex281,ex281_prefix_parity_reduce_top6_abc_d24,unknown_key_cofactor_bdd,abc_d24,student/work/ex280_ex284_frontend_bdd_key_cofactor_top6_20260608_1814/ex281/verilog/ex281_unknown_key_cofactor_bdd_prefix_parity_reduce_top6.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_synthflow_20260608_1816/ex281/aigs/ex281_prefix_parity_reduce_top6_abc_d24.aig,1,1,1,901,26,23426,2336,10.028253,0,0,1.542,Yosys abc delay target 24,synthflow_exact,Yosys abc delay target 24
ex281,ex281_prefix_parity_reduce_top6_abc_g_aig,unknown_key_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_bdd_key_cofactor_top6_20260608_1814/ex281/verilog/ex281_unknown_key_cofactor_bdd_prefix_parity_reduce_top6.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_synthflow_20260608_1816/ex281/aigs/ex281_prefix_parity_reduce_top6_abc_g_aig.aig,1,1,1,858,24,20592,2336,8.815068,0,0,1.540,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_top6_extra_opt_share,unknown_key_cofactor_bdd,extra_opt_share,student/work/ex280_ex284_frontend_bdd_key_cofactor_top6_20260608_1814/ex281/verilog/ex281_unknown_key_cofactor_bdd_prefix_parity_reduce_top6.v,student/work/ex280_ex284_frontend_bdd_key_cofactor_synthflow_20260608_1816/ex281/aigs/ex281_prefix_parity_reduce_top6_extra_opt_share.aig,1,1,1,901,26,23426,2336,10.028253,0,0,1.597,extra opt_reduce/opt_muxtree/wreduce/share before techmap,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap
