case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first,1,1,735,29,21315,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first,1,1,811,27,21897,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first,1,1,752,26,19552,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first,1,1,851,29,24679,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex281/aigs/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first,1,1,909,29,26361,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex281/aigs/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first,1,1,901,26,23426,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex281/aigs/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first,1,1,1019,36,36684,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex282/aigs/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first,1,1,1049,33,34617,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex282/aigs/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first,1,1,1020,32,32640,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex282/aigs/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first,1,1,1187,39,46293,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex283/aigs/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first,1,1,1176,33,38808,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex283/aigs/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first,1,1,1173,32,37536,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex283/aigs/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex284,ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first,1,1,1304,40,52160,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex284/aigs/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex284,ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first,1,1,1342,37,49654,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex284/aigs/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
