case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_prefix_parity_reduce_top6_first_abc_g_aig,1,1,731,25,18275,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_synthflow_20260608_1917/ex280/aigs/ex280_prefix_parity_reduce_top6_first_abc_g_aig.aig,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top6_first_synth_preset,1,1,763,26,19838,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_synthflow_20260608_1917/ex280/aigs/ex280_prefix_parity_reduce_top6_first_synth_preset.aig,Yosys synth preset with flatten
ex281,ex281_prefix_parity_reduce_top6_first_abc_g_aig,1,1,858,24,20592,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_synthflow_20260608_1917/ex281/aigs/ex281_prefix_parity_reduce_top6_first_abc_g_aig.aig,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_top6_first_synth_preset,1,1,857,34,29138,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_synthflow_20260608_1917/ex281/aigs/ex281_prefix_parity_reduce_top6_first_synth_preset.aig,Yosys synth preset with flatten
ex282,ex282_prefix_parity_reduce_top6_first_abc_g_aig,1,1,995,32,31840,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_synthflow_20260608_1917/ex282/aigs/ex282_prefix_parity_reduce_top6_first_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_prefix_parity_reduce_top6_first_synth_preset,1,1,1021,31,31651,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_synthflow_20260608_1917/ex282/aigs/ex282_prefix_parity_reduce_top6_first_synth_preset.aig,Yosys synth preset with flatten
ex283,ex283_prefix_parity_reduce_top6_first_abc_g_aig,1,1,1133,32,36256,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_synthflow_20260608_1917/ex283/aigs/ex283_prefix_parity_reduce_top6_first_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_prefix_parity_reduce_top6_first_synth_preset,1,1,1081,37,39997,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_synthflow_20260608_1917/ex283/aigs/ex283_prefix_parity_reduce_top6_first_synth_preset.aig,Yosys synth preset with flatten
ex284,ex284_prefix_parity_reduce_top5_first_abc_g_aig,1,1,1303,36,46908,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_synthflow_20260608_1917/ex284/aigs/ex284_prefix_parity_reduce_top5_first_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_prefix_parity_reduce_top5_first_synth_preset,1,1,1316,41,53956,student/work/ex280_ex284_frontend_key_canonical_cofactor_20260608_1916/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first.v,student/work/ex280_ex284_frontend_key_canonical_cofactor_synthflow_20260608_1917/ex284/aigs/ex284_prefix_parity_reduce_top5_first_synth_preset.aig,Yosys synth preset with flatten
