case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex280,ex280_prefix_parity_reduce_top5_first_classonehot_endpoint_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classonehot_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_synthflow_20260608_2027/ex280/aigs/ex280_prefix_parity_reduce_top5_first_classonehot_endpoint_abc_g_aig.aig,1,1,1,743,29,21547,2415,8.922153,0,0,0.848,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top5_first_classonehot_endpoint_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classonehot_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_synthflow_20260608_2027/ex280/aigs/ex280_prefix_parity_reduce_top5_first_classonehot_endpoint_synth_preset.aig,1,1,1,737,31,22847,2415,9.460455,0,0,1.145,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex280,ex280_prefix_parity_reduce_top5_first_classonehot_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classonehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_synthflow_20260608_2027/ex280/aigs/ex280_prefix_parity_reduce_top5_first_classonehot_endpoint_rev_abc_g_aig.aig,1,1,1,745,26,19370,2415,8.020704,0,0,0.845,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top5_first_classonehot_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classonehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_synthflow_20260608_2027/ex280/aigs/ex280_prefix_parity_reduce_top5_first_classonehot_endpoint_rev_synth_preset.aig,1,1,1,758,25,18950,2415,7.846791,0,0,1.101,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex280,ex280_prefix_parity_reduce_top6_first_classonehot_endpoint_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_synthflow_20260608_2027/ex280/aigs/ex280_prefix_parity_reduce_top6_first_classonehot_endpoint_abc_g_aig.aig,1,1,1,732,25,18300,2415,7.577640,0,0,1.031,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top6_first_classonehot_endpoint_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_synthflow_20260608_2027/ex280/aigs/ex280_prefix_parity_reduce_top6_first_classonehot_endpoint_synth_preset.aig,1,1,1,741,25,18525,2415,7.670807,0,0,1.410,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex280,ex280_prefix_parity_reduce_top6_first_classonehot_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_synthflow_20260608_2027/ex280/aigs/ex280_prefix_parity_reduce_top6_first_classonehot_endpoint_rev_abc_g_aig.aig,1,1,1,729,25,18225,2415,7.546584,0,0,1.031,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top6_first_classonehot_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classonehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_synthflow_20260608_2027/ex280/aigs/ex280_prefix_parity_reduce_top6_first_classonehot_endpoint_rev_synth_preset.aig,1,1,1,728,27,19656,2415,8.139130,0,0,1.337,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex281,ex281_prefix_parity_reduce_top5_first_classonehot_endpoint_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classonehot_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_synthflow_20260608_2027/ex281/aigs/ex281_prefix_parity_reduce_top5_first_classonehot_endpoint_abc_g_aig.aig,1,1,1,873,30,26190,2336,11.211473,0,0,1.133,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_top5_first_classonehot_endpoint_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classonehot_20260608_2025/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classonehot_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classonehot_synthflow_20260608_2027/ex281/aigs/ex281_prefix_parity_reduce_top5_first_classonehot_endpoint_synth_preset.aig,1,1,1,866,34,29444,2336,12.604452,0,0,1.452,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
