case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex280,ex280_prefix_parity_reduce_top5_first_classsop_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_synthflow_20260608_2035/ex280/aigs/ex280_prefix_parity_reduce_top5_first_classsop_endpoint_rev_abc_g_aig.aig,1,1,1,743,25,18575,2415,7.691511,0,0,0.850,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top5_first_classsop_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classsop_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_synthflow_20260608_2035/ex280/aigs/ex280_prefix_parity_reduce_top5_first_classsop_endpoint_rev_synth_preset.aig,1,1,1,767,25,19175,2415,7.939959,0,0,1.113,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex281,ex281_prefix_parity_reduce_top6_first_classsop_endpoint_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_synthflow_20260608_2035/ex281/aigs/ex281_prefix_parity_reduce_top6_first_classsop_endpoint_abc_g_aig.aig,1,1,1,880,25,22000,2336,9.417808,0,0,1.449,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_top6_first_classsop_endpoint_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_synthflow_20260608_2035/ex281/aigs/ex281_prefix_parity_reduce_top6_first_classsop_endpoint_synth_preset.aig,1,1,1,843,28,23604,2336,10.104452,0,0,1.885,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex282,ex282_prefix_parity_reduce_top6_first_classsop_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_synthflow_20260608_2035/ex282/aigs/ex282_prefix_parity_reduce_top6_first_classsop_endpoint_rev_abc_g_aig.aig,1,1,1,985,30,29550,2704,10.928254,0,0,2.035,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex282,ex282_prefix_parity_reduce_top6_first_classsop_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_synthflow_20260608_2035/ex282/aigs/ex282_prefix_parity_reduce_top6_first_classsop_endpoint_rev_synth_preset.aig,1,1,1,913,37,33781,2704,12.492973,0,0,2.620,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex283,ex283_prefix_parity_reduce_top6_first_classsop_endpoint_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_synthflow_20260608_2035/ex283/aigs/ex283_prefix_parity_reduce_top6_first_classsop_endpoint_abc_g_aig.aig,1,1,1,1124,34,38216,3168,12.063131,0,0,2.910,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex283,ex283_prefix_parity_reduce_top6_first_classsop_endpoint_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_synthflow_20260608_2035/ex283/aigs/ex283_prefix_parity_reduce_top6_first_classsop_endpoint_synth_preset.aig,1,1,1,1135,36,40860,3168,12.897727,0,0,3.594,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex284,ex284_prefix_parity_reduce_top6_first_classsop_endpoint_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_synthflow_20260608_2035/ex284/aigs/ex284_prefix_parity_reduce_top6_first_classsop_endpoint_abc_g_aig.aig,1,1,1,1256,35,43960,4240,10.367925,0,0,4.493,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex284,ex284_prefix_parity_reduce_top6_first_classsop_endpoint_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_classsop_20260608_2032/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classsop_endpoint.v,student/work/ex280_ex284_frontend_key_cofactor_classsop_synthflow_20260608_2035/ex284/aigs/ex284_prefix_parity_reduce_top6_first_classsop_endpoint_synth_preset.aig,1,1,1,1212,38,46056,4240,10.862264,0,0,5.405,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
