case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex280,ex280_prefix_parity_reduce_top6_first_case_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_case_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_best_synthflow_20260608_2005/ex280/aigs/ex280_prefix_parity_reduce_top6_first_case_endpoint_rev_abc_g_aig.aig,1,1,1,731,25,18275,2415,7.567288,0,0,0.936,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top6_first_case_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_case_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_best_synthflow_20260608_2005/ex280/aigs/ex280_prefix_parity_reduce_top6_first_case_endpoint_rev_synth_preset.aig,1,1,1,754,25,18850,2415,7.805383,0,0,1.180,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex281,ex281_prefix_parity_reduce_top6_first_onehot_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_best_synthflow_20260608_2005/ex281/aigs/ex281_prefix_parity_reduce_top6_first_onehot_endpoint_rev_abc_g_aig.aig,1,1,1,889,26,23114,2336,9.894692,0,0,1.568,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_top6_first_onehot_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_best_synthflow_20260608_2005/ex281/aigs/ex281_prefix_parity_reduce_top6_first_onehot_endpoint_rev_synth_preset.aig,1,1,1,816,32,26112,2336,11.178082,0,0,2.038,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex282,ex282_prefix_parity_reduce_top6_first_case_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_case_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_best_synthflow_20260608_2005/ex282/aigs/ex282_prefix_parity_reduce_top6_first_case_endpoint_rev_abc_g_aig.aig,1,1,1,971,32,31072,2704,11.491124,0,0,1.897,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex282,ex282_prefix_parity_reduce_top6_first_case_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_case_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_best_synthflow_20260608_2005/ex282/aigs/ex282_prefix_parity_reduce_top6_first_case_endpoint_rev_synth_preset.aig,1,1,1,996,35,34860,2704,12.892012,0,0,2.437,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex283,ex283_prefix_parity_reduce_top6_first_onehot_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_best_synthflow_20260608_2005/ex283/aigs/ex283_prefix_parity_reduce_top6_first_onehot_endpoint_rev_abc_g_aig.aig,1,1,1,1110,33,36630,3168,11.562500,0,0,3.078,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex283,ex283_prefix_parity_reduce_top6_first_onehot_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_best_synthflow_20260608_2005/ex283/aigs/ex283_prefix_parity_reduce_top6_first_onehot_endpoint_rev_synth_preset.aig,1,1,1,1082,39,42198,3168,13.320076,0,0,3.831,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex284,ex284_prefix_parity_reduce_top6_first_onehot_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_best_synthflow_20260608_2005/ex284/aigs/ex284_prefix_parity_reduce_top6_first_onehot_endpoint_rev_abc_g_aig.aig,1,1,1,1227,35,42945,4240,10.128538,0,0,4.384,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex284,ex284_prefix_parity_reduce_top6_first_onehot_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_best_synthflow_20260608_2005/ex284/aigs/ex284_prefix_parity_reduce_top6_first_onehot_endpoint_rev_synth_preset.aig,1,1,1,1195,39,46605,4240,10.991745,0,0,5.377,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
