case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex280,ex280_prefix_parity_reduce_top5_first_case_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_case_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_filtered_synthflow_20260608_2020/ex280/aigs/ex280_prefix_parity_reduce_top5_first_case_endpoint_rev_abc_g_aig.aig,1,1,1,740,26,19240,2415,7.966874,0,0,0.817,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top5_first_case_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_case_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_filtered_synthflow_20260608_2020/ex280/aigs/ex280_prefix_parity_reduce_top5_first_case_endpoint_rev_synth_preset.aig,1,1,1,765,25,19125,2415,7.919255,0,0,1.040,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex280,ex280_prefix_parity_reduce_top5_first_onehot_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_filtered_synthflow_20260608_2020/ex280/aigs/ex280_prefix_parity_reduce_top5_first_onehot_endpoint_rev_abc_g_aig.aig,1,1,1,756,25,18900,2415,7.826087,0,0,0.860,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top5_first_onehot_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_filtered_synthflow_20260608_2020/ex280/aigs/ex280_prefix_parity_reduce_top5_first_onehot_endpoint_rev_synth_preset.aig,1,1,1,762,26,19812,2415,8.203727,0,0,1.148,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex280,ex280_prefix_parity_reduce_top6_first_case_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_case_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_filtered_synthflow_20260608_2020/ex280/aigs/ex280_prefix_parity_reduce_top6_first_case_endpoint_rev_abc_g_aig.aig,1,1,1,731,25,18275,2415,7.567288,0,0,0.922,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top6_first_case_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_case_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_filtered_synthflow_20260608_2020/ex280/aigs/ex280_prefix_parity_reduce_top6_first_case_endpoint_rev_synth_preset.aig,1,1,1,754,25,18850,2415,7.805383,0,0,1.176,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex280,ex280_prefix_parity_reduce_top6_first_onehot_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_filtered_synthflow_20260608_2020/ex280/aigs/ex280_prefix_parity_reduce_top6_first_onehot_endpoint_rev_abc_g_aig.aig,1,1,1,753,24,18072,2415,7.483230,0,0,1.136,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top6_first_onehot_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_filtered_synthflow_20260608_2020/ex280/aigs/ex280_prefix_parity_reduce_top6_first_onehot_endpoint_rev_synth_preset.aig,1,1,1,772,26,20072,2415,8.311387,0,0,1.469,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex281,ex281_prefix_parity_reduce_top6_first_onehot_endpoint_rev_abc_g_aig,unknown_key_canonical_cofactor_bdd,abc_g_aig,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_filtered_synthflow_20260608_2020/ex281/aigs/ex281_prefix_parity_reduce_top6_first_onehot_endpoint_rev_abc_g_aig.aig,1,1,1,889,26,23114,2336,9.894692,0,0,1.584,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_top6_first_onehot_endpoint_rev_synth_preset,unknown_key_canonical_cofactor_bdd,synth_preset,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_20260608_1950/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot_endpoint_rev.v,student/work/ex280_ex284_frontend_key_cofactor_inner_orders_filtered_synthflow_20260608_2020/ex281/aigs/ex281_prefix_parity_reduce_top6_first_onehot_endpoint_rev_synth_preset.aig,1,1,1,816,32,26112,2336,11.178082,0,0,2.015,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
