case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot,1,1,772,28,21616,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot,1,1,796,25,19900,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot,1,1,913,29,26477,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex281/aigs/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot,1,1,937,28,26236,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex281/aigs/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot,1,1,1061,36,38196,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex282/aigs/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot,1,1,1064,32,34048,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex282/aigs/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot,1,1,1188,34,40392,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex283/aigs/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot,1,1,1246,30,37380,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex283/aigs/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex284,ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot,1,1,1347,37,49839,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex284/aigs/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
ex284,ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot,1,1,1359,38,51642,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex284/aigs/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.aig,unknown canonical prefix-key cofactor-BDD Verilog seed
