case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_prefix_parity_reduce_top6_first_onehot_abc_g_aig,1,1,769,25,19225,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_synthflow_20260608_1932/ex280/aigs/ex280_prefix_parity_reduce_top6_first_onehot_abc_g_aig.aig,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_top6_first_onehot_synth_preset,1,1,749,31,23219,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_synthflow_20260608_1932/ex280/aigs/ex280_prefix_parity_reduce_top6_first_onehot_synth_preset.aig,Yosys synth preset with flatten
ex281,ex281_prefix_parity_reduce_top6_first_onehot_abc_g_aig,1,1,904,28,25312,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_synthflow_20260608_1932/ex281/aigs/ex281_prefix_parity_reduce_top6_first_onehot_abc_g_aig.aig,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_top6_first_onehot_synth_preset,1,1,882,27,23814,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex281/verilog/ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_synthflow_20260608_1932/ex281/aigs/ex281_prefix_parity_reduce_top6_first_onehot_synth_preset.aig,Yosys synth preset with flatten
ex282,ex282_prefix_parity_reduce_top6_first_onehot_abc_g_aig,1,1,1032,32,33024,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_synthflow_20260608_1932/ex282/aigs/ex282_prefix_parity_reduce_top6_first_onehot_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_prefix_parity_reduce_top6_first_onehot_synth_preset,1,1,1028,29,29812,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex282/verilog/ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_synthflow_20260608_1932/ex282/aigs/ex282_prefix_parity_reduce_top6_first_onehot_synth_preset.aig,Yosys synth preset with flatten
ex283,ex283_prefix_parity_reduce_top6_first_onehot_abc_g_aig,1,1,1189,30,35670,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_synthflow_20260608_1932/ex283/aigs/ex283_prefix_parity_reduce_top6_first_onehot_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_prefix_parity_reduce_top6_first_onehot_synth_preset,1,1,1172,36,42192,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex283/verilog/ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_synthflow_20260608_1932/ex283/aigs/ex283_prefix_parity_reduce_top6_first_onehot_synth_preset.aig,Yosys synth preset with flatten
ex284,ex284_prefix_parity_reduce_top5_first_onehot_abc_g_aig,1,1,1310,36,47160,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_synthflow_20260608_1932/ex284/aigs/ex284_prefix_parity_reduce_top5_first_onehot_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_prefix_parity_reduce_top5_first_onehot_synth_preset,1,1,1269,39,49491,student/work/ex280_ex284_frontend_key_cofactor_onehot_20260608_1931/ex284/verilog/ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_onehot.v,student/work/ex280_ex284_frontend_key_cofactor_onehot_synthflow_20260608_1932/ex284/aigs/ex284_prefix_parity_reduce_top5_first_onehot_synth_preset.aig,Yosys synth preset with flatten
