case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint,1,1,842,27,22734,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex280/verilog/ex280_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex280/aigs/ex280_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.aig,unknown per-bit endpoint-order BDD Verilog seed
ex280,ex280_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev,1,1,778,28,21784,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex280/verilog/ex280_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex280/aigs/ex280_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.aig,unknown per-bit endpoint-order BDD Verilog seed
ex281,ex281_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint,1,1,1004,34,34136,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex281/verilog/ex281_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex281/aigs/ex281_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.aig,unknown per-bit endpoint-order BDD Verilog seed
ex281,ex281_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev,1,1,945,31,29295,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex281/verilog/ex281_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex281/aigs/ex281_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.aig,unknown per-bit endpoint-order BDD Verilog seed
ex282,ex282_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint,1,1,1129,34,38386,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex282/verilog/ex282_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex282/aigs/ex282_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.aig,unknown per-bit endpoint-order BDD Verilog seed
ex282,ex282_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev,1,1,1069,38,40622,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex282/verilog/ex282_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex282/aigs/ex282_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.aig,unknown per-bit endpoint-order BDD Verilog seed
ex283,ex283_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint,1,1,1312,38,49856,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex283/verilog/ex283_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex283/aigs/ex283_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.aig,unknown per-bit endpoint-order BDD Verilog seed
ex283,ex283_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev,1,1,1208,45,54360,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex283/verilog/ex283_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex283/aigs/ex283_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.aig,unknown per-bit endpoint-order BDD Verilog seed
ex284,ex284_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint,1,1,1494,43,64242,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex284/verilog/ex284_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex284/aigs/ex284_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.aig,unknown per-bit endpoint-order BDD Verilog seed
ex284,ex284_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev,1,1,1374,43,59082,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex284/verilog/ex284_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex284/aigs/ex284_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.aig,unknown per-bit endpoint-order BDD Verilog seed
