case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_prefix_parity_reduce_endpoint_rev_abc_g_aig,1,1,753,28,21084,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex280/verilog/ex280_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_synthflow_20260608_1929/ex280/aigs/ex280_prefix_parity_reduce_endpoint_rev_abc_g_aig.aig,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_endpoint_rev_synth_preset,1,1,784,29,22736,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex280/verilog/ex280_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_synthflow_20260608_1929/ex280/aigs/ex280_prefix_parity_reduce_endpoint_rev_synth_preset.aig,Yosys synth preset with flatten
ex281,ex281_prefix_parity_reduce_endpoint_rev_abc_g_aig,1,1,902,31,27962,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex281/verilog/ex281_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_synthflow_20260608_1929/ex281/aigs/ex281_prefix_parity_reduce_endpoint_rev_abc_g_aig.aig,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_endpoint_rev_synth_preset,1,1,876,34,29784,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex281/verilog/ex281_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_synthflow_20260608_1929/ex281/aigs/ex281_prefix_parity_reduce_endpoint_rev_synth_preset.aig,Yosys synth preset with flatten
ex282,ex282_prefix_parity_reduce_endpoint_abc_g_aig,1,1,1089,34,37026,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex282/verilog/ex282_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_synthflow_20260608_1929/ex282/aigs/ex282_prefix_parity_reduce_endpoint_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_prefix_parity_reduce_endpoint_synth_preset,1,1,1088,38,41344,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex282/verilog/ex282_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_synthflow_20260608_1929/ex282/aigs/ex282_prefix_parity_reduce_endpoint_synth_preset.aig,Yosys synth preset with flatten
ex283,ex283_prefix_parity_reduce_endpoint_abc_g_aig,1,1,1267,38,48146,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex283/verilog/ex283_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_synthflow_20260608_1929/ex283/aigs/ex283_prefix_parity_reduce_endpoint_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_prefix_parity_reduce_endpoint_synth_preset,1,1,1207,36,43452,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex283/verilog/ex283_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_synthflow_20260608_1929/ex283/aigs/ex283_prefix_parity_reduce_endpoint_synth_preset.aig,Yosys synth preset with flatten
ex284,ex284_prefix_parity_reduce_endpoint_rev_abc_g_aig,1,1,1341,42,56322,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex284/verilog/ex284_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_synthflow_20260608_1929/ex284/aigs/ex284_prefix_parity_reduce_endpoint_rev_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_prefix_parity_reduce_endpoint_rev_synth_preset,1,1,1320,44,58080,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_20260608_1928/ex284/verilog/ex284_unknown_key_perbit_endpoint_bdd_prefix_parity_reduce_endpoint_rev.v,student/work/ex280_ex284_frontend_key_perbit_endpoint_bdd_synthflow_20260608_1929/ex284/aigs/ex284_prefix_parity_reduce_endpoint_rev_synth_preset.aig,Yosys synth preset with flatten
