case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_prefix_parity_reduce_full_mod_grouped_deg2_abc_g_aig,1,1,207,29,6003,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex280/aigs/ex280_prefix_parity_reduce_full_mod_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig,1,1,195,28,5460,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex280,ex280_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2_abc_g_aig,1,1,217,29,6293,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex280/aigs/ex280_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_full_mod_grouped_deg2_abc_g_aig,1,1,235,37,8695,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex281/aigs/ex281_prefix_parity_reduce_full_mod_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig,1,1,201,31,6231,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2_abc_g_aig,1,1,231,35,8085,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex281/aigs/ex281_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_prefix_parity_reduce_full_mod_grouped_deg2_abc_g_aig,1,1,251,33,8283,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex282/aigs/ex282_prefix_parity_reduce_full_mod_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig,1,1,215,31,6665,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex282/aigs/ex282_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2_abc_g_aig,1,1,248,33,8184,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex282/aigs/ex282_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_prefix_parity_reduce_full_mod_grouped_deg2_abc_g_aig,1,1,260,37,9620,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex283/aigs/ex283_prefix_parity_reduce_full_mod_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig,1,1,236,35,8260,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex283/aigs/ex283_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2_abc_g_aig,1,1,271,39,10569,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex283/aigs/ex283_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_prefix_parity_reduce_full_mod_grouped_deg2_abc_g_aig,1,1,267,41,10947,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_synthflow_20260609_0117/ex284/aigs/ex284_prefix_parity_reduce_full_mod_grouped_deg2_abc_g_aig.aig,Yosys abc gate set aig
