case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex280,ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18,unknown_muxcoord_anf,abc_g_aig_d18,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18.aig,1,1,1,186,29,5394,2415,2.233540,0,0,0.285,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
ex280,ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19,unknown_muxcoord_anf,abc_g_aig_d19,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19.aig,1,1,1,186,29,5394,2415,2.233540,0,0,0.280,Yosys abc gate set aig delay target 19,synthflow_exact,Yosys abc gate set aig delay target 19
ex280,ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d20,unknown_muxcoord_anf,abc_g_aig_d20,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d20.aig,1,1,1,186,29,5394,2415,2.233540,0,0,0.293,Yosys abc gate set aig delay target 20,synthflow_exact,Yosys abc gate set aig delay target 20
ex280,ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d21,unknown_muxcoord_anf,abc_g_aig_d21,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d21.aig,1,1,1,186,29,5394,2415,2.233540,0,0,0.287,Yosys abc gate set aig delay target 21,synthflow_exact,Yosys abc gate set aig delay target 21
ex281,ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18,unknown_muxcoord_anf,abc_g_aig_d18,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18.aig,1,1,1,205,30,6150,2336,2.632705,0,0,0.336,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
ex281,ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19,unknown_muxcoord_anf,abc_g_aig_d19,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19.aig,1,1,1,205,30,6150,2336,2.632705,0,0,0.333,Yosys abc gate set aig delay target 19,synthflow_exact,Yosys abc gate set aig delay target 19
ex281,ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d20,unknown_muxcoord_anf,abc_g_aig_d20,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d20.aig,1,1,1,205,30,6150,2336,2.632705,0,0,0.331,Yosys abc gate set aig delay target 20,synthflow_exact,Yosys abc gate set aig delay target 20
ex281,ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d21,unknown_muxcoord_anf,abc_g_aig_d21,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d21.aig,1,1,1,205,30,6150,2336,2.632705,0,0,0.331,Yosys abc gate set aig delay target 21,synthflow_exact,Yosys abc gate set aig delay target 21
ex282,ex282_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18,unknown_muxcoord_anf,abc_g_aig_d18,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex282/aigs/ex282_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18.aig,1,1,1,228,33,7524,2704,2.782544,0,0,0.435,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
ex282,ex282_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19,unknown_muxcoord_anf,abc_g_aig_d19,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex282/aigs/ex282_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19.aig,1,1,1,228,33,7524,2704,2.782544,0,0,0.431,Yosys abc gate set aig delay target 19,synthflow_exact,Yosys abc gate set aig delay target 19
