case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_synthflow_20260608_2315/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig.aig,1,1,1,602,31,18662,0.433,Yosys abc gate set aig,Yosys abc gate set aig,1,18662,0,
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_synth_preset,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg0_endpoint_rev_synth_preset,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_synthflow_20260608_2315/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_synth_preset.aig,1,1,1,714,31,22134,0.558,Yosys synth preset with flatten,Yosys synth preset with flatten,1,22134,0,
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_extra_opt_share,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg0_endpoint_rev_extra_opt_share,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_synthflow_20260608_2315/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_extra_opt_share.aig,1,1,1,696,31,21576,0.430,extra opt_reduce/opt_muxtree/wreduce/share,extra opt_reduce/opt_muxtree/wreduce/share,1,21576,0,
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d24,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d24,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_synthflow_20260608_2315/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d24.aig,1,1,1,602,31,18662,0.423,Yosys abc gate set aig delay target 24,Yosys abc gate set aig delay target 24,1,18662,0,
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d28,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d28,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_synthflow_20260608_2315/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d28.aig,1,1,1,602,31,18662,0.422,Yosys abc gate set aig delay target 28,Yosys abc gate set aig delay target 28,1,18662,0,
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_synthflow_20260608_2315/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig.aig,1,1,1,683,33,22539,0.510,Yosys abc gate set aig,Yosys abc gate set aig,1,22539,0,
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_synth_preset,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg0_endpoint_rev_synth_preset,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_synthflow_20260608_2315/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_synth_preset.aig,1,1,1,778,34,26452,0.659,Yosys synth preset with flatten,Yosys synth preset with flatten,1,26452,0,
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_extra_opt_share,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg0_endpoint_rev_extra_opt_share,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_synthflow_20260608_2315/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_extra_opt_share.aig,1,1,1,803,33,26499,0.502,extra opt_reduce/opt_muxtree/wreduce/share,extra opt_reduce/opt_muxtree/wreduce/share,1,26499,0,
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d24,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d24,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_synthflow_20260608_2315/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d24.aig,1,1,1,683,33,22539,0.492,Yosys abc gate set aig delay target 24,Yosys abc gate set aig delay target 24,1,22539,0,
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d28,unknown_layered_anf_davio_synthflow,prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d28,student/work/ex280_ex284_frontend_prefix_davio_orders_20260608_2306/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_synthflow_20260608_2315/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_endpoint_rev_abc_g_aig_d28.aig,1,1,1,683,33,22539,0.489,Yosys abc gate set aig delay target 28,Yosys abc gate set aig delay target 28,1,22539,0,
