case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex280,ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d18,unknown_quadratic_compressor,abc_g_aig_d18,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_d_20260609_0216/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d18.aig,1,1,1,152,31,4712,2415,1.951139,0,0,0.293,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
ex280,ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d19,unknown_quadratic_compressor,abc_g_aig_d19,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_d_20260609_0216/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d19.aig,1,1,1,152,31,4712,2415,1.951139,0,0,0.283,Yosys abc gate set aig delay target 19,synthflow_exact,Yosys abc gate set aig delay target 19
ex280,ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d20,unknown_quadratic_compressor,abc_g_aig_d20,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_d_20260609_0216/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d20.aig,1,1,1,152,31,4712,2415,1.951139,0,0,0.279,Yosys abc gate set aig delay target 20,synthflow_exact,Yosys abc gate set aig delay target 20
ex280,ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d21,unknown_quadratic_compressor,abc_g_aig_d21,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_d_20260609_0216/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d21.aig,1,1,1,152,31,4712,2415,1.951139,0,0,0.294,Yosys abc gate set aig delay target 21,synthflow_exact,Yosys abc gate set aig delay target 21
ex281,ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d18,unknown_quadratic_compressor,abc_g_aig_d18,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_d_20260609_0216/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d18.aig,1,1,1,161,34,5474,2336,2.343322,0,0,0.329,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
ex281,ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d19,unknown_quadratic_compressor,abc_g_aig_d19,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_d_20260609_0216/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d19.aig,1,1,1,161,34,5474,2336,2.343322,0,0,0.348,Yosys abc gate set aig delay target 19,synthflow_exact,Yosys abc gate set aig delay target 19
ex281,ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d20,unknown_quadratic_compressor,abc_g_aig_d20,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_d_20260609_0216/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d20.aig,1,1,1,161,34,5474,2336,2.343322,0,0,0.334,Yosys abc gate set aig delay target 20,synthflow_exact,Yosys abc gate set aig delay target 20
ex281,ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d21,unknown_quadratic_compressor,abc_g_aig_d21,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_d_20260609_0216/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig_d21.aig,1,1,1,161,34,5474,2336,2.343322,0,0,0.336,Yosys abc gate set aig delay target 21,synthflow_exact,Yosys abc gate set aig delay target 21
ex282,ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig_d18,unknown_quadratic_compressor,abc_g_aig_d18,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_d_20260609_0216/ex282/aigs/ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig_d18.aig,1,1,1,176,36,6336,2704,2.343195,0,0,0.426,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
ex282,ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig_d19,unknown_quadratic_compressor,abc_g_aig_d19,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_d_20260609_0216/ex282/aigs/ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig_d19.aig,1,1,1,176,36,6336,2704,2.343195,0,0,0.421,Yosys abc gate set aig delay target 19,synthflow_exact,Yosys abc gate set aig delay target 19
