case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_anf_davio_best_order_abc_g_aig,1,1,929,25,23225,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex280/verilog/ex280_unknown_algebraic_12x12_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_synthflow_20260608_2004/ex280/aigs/ex280_anf_davio_best_order_abc_g_aig.aig,Yosys abc gate set aig
ex280,ex280_anf_davio_best_order_synth_preset,1,1,1115,25,27875,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex280/verilog/ex280_unknown_algebraic_12x12_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_synthflow_20260608_2004/ex280/aigs/ex280_anf_davio_best_order_synth_preset.aig,Yosys synth preset with flatten
ex281,ex281_anf_davio_best_order_abc_g_aig,1,1,1171,27,31617,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex281/verilog/ex281_unknown_algebraic_13x13_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_synthflow_20260608_2004/ex281/aigs/ex281_anf_davio_best_order_abc_g_aig.aig,Yosys abc gate set aig
ex281,ex281_anf_davio_best_order_synth_preset,1,1,1463,27,39501,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex281/verilog/ex281_unknown_algebraic_13x13_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_synthflow_20260608_2004/ex281/aigs/ex281_anf_davio_best_order_synth_preset.aig,Yosys synth preset with flatten
ex282,ex282_anf_davio_best_order_abc_g_aig,1,1,1323,31,41013,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex282/verilog/ex282_unknown_algebraic_14x14_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_synthflow_20260608_2004/ex282/aigs/ex282_anf_davio_best_order_abc_g_aig.aig,Yosys abc gate set aig
ex282,ex282_anf_davio_best_order_synth_preset,1,1,1635,32,52320,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex282/verilog/ex282_unknown_algebraic_14x14_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_synthflow_20260608_2004/ex282/aigs/ex282_anf_davio_best_order_synth_preset.aig,Yosys synth preset with flatten
ex283,ex283_anf_davio_best_order_abc_g_aig,1,1,1584,34,53856,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex283/verilog/ex283_unknown_algebraic_15x15_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_synthflow_20260608_2004/ex283/aigs/ex283_anf_davio_best_order_abc_g_aig.aig,Yosys abc gate set aig
ex283,ex283_anf_davio_best_order_synth_preset,1,1,1956,33,64548,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex283/verilog/ex283_unknown_algebraic_15x15_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_synthflow_20260608_2004/ex283/aigs/ex283_anf_davio_best_order_synth_preset.aig,Yosys synth preset with flatten
ex284,ex284_anf_davio_best_order_abc_g_aig,1,1,1749,38,66462,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex284/verilog/ex284_unknown_algebraic_16x16_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_synthflow_20260608_2004/ex284/aigs/ex284_anf_davio_best_order_abc_g_aig.aig,Yosys abc gate set aig
ex284,ex284_anf_davio_best_order_synth_preset,1,1,2191,38,83258,student/work/ex280_ex284_frontend_raw_anf_davio_20260608_2000/ex284/verilog/ex284_unknown_algebraic_16x16_anf_davio_best_order.v,student/work/ex280_ex284_frontend_raw_anf_davio_synthflow_20260608_2004/ex284/aigs/ex284_anf_davio_best_order_synth_preset.aig,Yosys synth preset with flatten
