case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_node,1,1,729,29,21141,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_depth,1,1,733,36,26388,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_node,1,1,732,27,19764,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_depth,1,1,740,28,20720,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high3_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_node,1,1,782,26,20332,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth,1,1,733,29,21257,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_node,1,1,748,32,23936,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_depth,1,1,759,29,22011,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high5_depth.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_node,1,1,704,34,23936,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_node.aig,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_depth,1,1,730,34,24820,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high6_depth.aig,unknown grouped ANF/Davio Verilog seed
